"position.x","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_fum_rec","dst_fum_rec_sd","dst_sacks","dst_sacks_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","first_name","last_name","team","position.y","age","exp"
"TE","14870","average",NA,NA,NA,NA,NA,NA,0.05,0.0408248290463863,0,0,0,0,21.5,4.50924975282289,216.25,53.8787218358664,1.525,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adam","Trautman","DEN","TE",29,0
"TE","14870","robust",NA,NA,NA,NA,NA,NA,0.05,0.037065,0,0,0,0,21.5,4.4478,216.25,54.1149,1.525,0.66717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adam","Trautman","DEN","TE",29,0
"TE","14870","weighted",NA,NA,NA,NA,NA,NA,0.0516754850088183,0.0394715995082983,0,0,0,0,21.4003527336861,4.65603717763822,214.611992945326,55.5884335765771,1.49770723104056,0.551383108722929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adam","Trautman","DEN","TE",29,0
"TE","14867","average",NA,NA,NA,NA,NA,NA,0.5,0.353553390593274,0,0,0,0,28.32,5.98431282604778,294.8,67.2361509903712,2.4,0.547722557505166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cole","Kmet","CHI","TE",27,0
"TE","14867","robust",NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,0,28.5,6.52344,297,72.6474,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cole","Kmet","CHI","TE",27,0
"TE","14867","weighted",NA,NA,NA,NA,NA,NA,0.513231197771588,0.339564913853206,0,0,0,0,28.1479108635098,6.07768460260295,293.129526462396,68.6237667760774,2.40807799442897,0.549931133193601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cole","Kmet","CHI","TE",27,0
"TE","17591","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0.75,0.25,20.7666666666667,7.92233130671353,225.666666666667,89.3662874541252,2.1,0.854400374531753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Boerkircher","JAC","TE",25,-6
"TE","17591","robust",NA,NA,NA,NA,NA,NA,0,0,0,0,0.75,0.37065,21.075,8.8956,229.25,99.3342,2.075,1.03782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Boerkircher","JAC","TE",25,-6
"TE","17591","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.751829268292683,0.25648994142125,20.440487804878,7.84788068093051,222.00243902439,88.544873178571,2.05756097560976,0.837479953078058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nate","Boerkircher","JAC","TE",25,-6
"TE","17607","average",NA,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.408248290463863,21.375,1.88745860881769,227,25.4689353265241,1.425,0.67515430335097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eli","Raridon","NEP","TE",22,-6
