avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16174,RB,96.45,11.19363,FALSE,5.45,70.56,115.38,-104.6,-109.4,-113.2,267,298,295,46,19,-77.25,141,Chris,Rodriguez,JAC,RB,26,-3,126.45,43.13,4.58,132.81,ADP.tsv,134.912,14.9224,ADP.tsv,11.8943707694018,132.088,3.436,2.90184217351668,20308,132.81,87,173,325
robust,13132,RB,91,6.07866000000001,FALSE,3.25,70.28,96.8,-110.05,-109.68,-131.78,285,299,349,47,19,-82.7,146,Alvin,Kamara,NOS,RB,31,3,170.88,56.29,7.75,199.67,ADP.tsv,155.184,27.1768,ADP.tsv,15.0159669685305,129.816,3.159,3.25770517389159,15293,199.67,137,293,313
robust,14086,RB,87.75,15.93795,FALSE,2.09999999999999,72.16,103.54,-113.3,-107.8,-125.04,295,289,329,48,19,-85.95,148,Justice,Hill,BAL,RB,29,1,230.53,70.05,9.56,232.45,ADP.tsv,181.58,28.1754,ADP.tsv,2.73,113.42,1.84666666666667,1.50610609040517,17020,232.45,150,309,267
robust,15712,RB,85.65,11.49015,FALSE,6.45,77.58,98.92,-115.4,-102.38,-129.66,303,270,343,49,20,-88.05,151,Tyler,Allgeier,ARI,RB,26,-2,130.34,44.48,4.1,127.86,ADP.tsv,138.778,16.7615,ADP.tsv,12.7067814965081,164.222,3.5665,3.14118874791057,19441,127.86,70,167,338
robust,15716,RB,79.2,13.19514,FALSE,1.5,69.86,88.66,-121.85,-110.1,-139.92,329,304,379,50,20,-94.5,162,Brian,Robinson,ATL,RB,27,-2,163.83,55.16,4.35,179.21,ADP.tsv,152.966,18.9444,ADP.tsv,18.5060115638135,176.034,8.3215,6.61861516859834,19468,179.21,120,229,320
robust,17047,RB,77.7,6.81996000000001,FALSE,0.650000000000006,63.72,107.76,-123.35,-116.24,-120.82,334,324,313,51,20,-96,166,Dylan,Sampson,CLE,RB,22,-5,154.02,51.78,5.22,161.61,ADP.tsv,164.756666666667,16.5112,ADP.tsv,6.84103468457481,169.243333333333,1.40133333333333,1.1003046042902,22099,161.61,104,199,320
robust,16747,RB,77.05,23.42508,FALSE,0.649999999999991,39.58,105.16,-124,-140.38,-123.42,338,397,324,52,20,-96.65,168,Tyrone,Tracy,NYG,RB,27,-4,172.13,56.19,9.48,172.07,ADP.tsv,142.018,34.2277,ADP.tsv,7.93212808772022,195.982,1.6915,1.56762774599074,21183,172.07,110,307,321
robust,16164,RB,76.4,24.90768,FALSE,1.75,58.8,94.08,-124.65,-121.16,-134.5,344,336,358,53,20,-97.3,170,Tank,Bigsby,PHI,RB,25,-3,154.79,52.36,5.3,159.59,ADP.tsv,149.208,19.6331,ADP.tsv,11.1057577859415,194.792,2.222,2.170348359135,20279,159.59,100,213,321
robust,14095,RB,74.65,5.04083999999999,FALSE,4,68.44,90.14,-126.4,-111.52,-138.44,351,309,373,54,20,-99.05,173,Ty,Johnson,BUF,RB,29,1,262.6,78.22,7.22,287.55,ADP.tsv,NA,30.8342,ADP.tsv,NA,NA,1.212,1.212,17046,287.55,212,360,67
robust,13133,RB,70.65,11.41602,FALSE,0.450000000000003,55.24,86.48,-130.4,-124.72,-142.1,362,349,385,55,20,-103.05,178,Samaje,Perine,CIN,RB,31,3,252.4,75.45,10.16,251.53,ADP.tsv,205.76,25.4944,ADP.tsv,NA,156.24,1.502,1.402,15362,251.53,170,311,222
robust,16178,RB,70.2,17.49468,FALSE,1.05,44.4,82.48,-130.85,-135.56,-146.1,363,381,391,56,21,-103.5,181,Keaton,Mitchell,LAC,RB,24,-3,144.21,48.94,6.17,140.44,ADP.tsv,150.234,19.4594,ADP.tsv,10.5054949431238,212.766,2.4975,2.36053357315671,20344,140.44,90,202,321
robust,15749,RB,69.15,26.61267,FALSE,2.84999999999999,48.74,96.64,-131.9,-131.22,-131.94,366,372,350,57,21,-104.55,183,Isiah,Pacheco,DET,RB,27,-2,188.08,60.34,9.39,196,ADP.tsv,148.942,38.1363,ADP.tsv,13.1717916776724,217.058,2.53,2.77393222700195,19486,196,112,330,301
