"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","rush_att","rush_yds","rush_avg","rush_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","dst_int","dst_fum_rec","dst_sacks","dst_fumbles","dst_tackles","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Wicks, Dontayvion","WR","PHI",NA,69.4,42.7,444,NA,NA,2.1,NA,1,NA,0,0,56.8,NA,NA,"FantasySharks","16195",NA,NA,NA,NA,NA,9.4,1,0.3,0.4,0,0.3,0,1.8,0.9,0.3,0.1,6,5.9,NA
"Hollins, Mack","WR","NEP",NA,54.1,35.4,479,NA,NA,1.2,NA,5,NA,0,0,55.5,NA,NA,"FantasySharks","13289",NA,NA,NA,NA,NA,3.5,0.6,0,0,0.6,0,0,1.9,1,0.3,0.1,13,2.4,NA
"Concepcion, KC","WR","CLE",NA,87,45.1,502,NA,NA,0.5,NA,21,NA,0,0.6,55,NA,NA,"FantasySharks","17501",NA,NA,NA,NA,NA,5.9,0,0.5,0,0,0,0,2,1,0.3,0.1,77,3.1,NA
"Coleman, Keon","WR","BUF",NA,54,31.9,379,NA,NA,2.8,NA,0,NA,0,0.6,54.7,NA,NA,"FantasySharks","16617",NA,NA,NA,NA,NA,7.7,1.5,0.7,0,0.6,0,0,1.5,0.8,0.3,0.1,6,6.1,NA
"Dike, Chimere","WR","TEN",NA,73.2,39.4,337,NA,NA,3.2,NA,5,NA,0,0,53.6,NA,NA,"FantasySharks","17171",NA,NA,NA,NA,NA,9.5,3.1,0,0,0.1,0,0,1.3,0.7,0.2,0.1,1013,8.1,NA
"Mitchell, Adonai","WR","NYJ",NA,74.5,32.6,411,NA,NA,2.1,NA,2,NA,0,0.3,53.5,NA,NA,"FantasySharks","16626",NA,NA,NA,NA,NA,9,1.3,0.2,0,0,0,0.6,1.6,0.8,0.3,0.1,34,4,NA
"Ayomanor, Elic","WR","TEN",NA,77.3,32.4,389,NA,NA,2.2,NA,2,NA,0,0,52.6,NA,NA,"FantasySharks","17073",NA,NA,NA,NA,NA,7.8,1.5,0.7,0,0,0,0,1.6,0.8,0.3,0.1,114,6.1,NA
"Boston, Denzel","WR","CLE",NA,77.3,38,509,NA,NA,0,NA,19,NA,0,0.4,51.9,NA,NA,"FantasySharks","17500",NA,NA,NA,NA,NA,6.8,0,0,0,0,0,0,1.8,0.9,0.3,0.1,156,2.9,NA
"Harris, Tre","WR","LAC",NA,53.5,33.7,402,NA,NA,1.6,NA,3,NA,0,0.2,49.9,NA,NA,"FantasySharks","17072",NA,NA,NA,NA,NA,7.4,0.9,0.4,0.3,0,0,0,1.6,0.8,0.3,0.1,1,3.8,NA
"Ridley, Calvin","WR","TEN",NA,57.2,29.4,444,NA,NA,0.7,NA,15,NA,0,0,49.8,NA,NA,"FantasySharks","13629",NA,NA,NA,NA,NA,3.4,0,0,0,0.7,0,0,1.8,0.9,0.3,0.1,45,2.4,NA
"Robinson, Demarcus","WR","SFO",NA,35.7,21.9,319,NA,NA,2.3,NA,6,NA,0,0,47.8,NA,NA,"FantasySharks","12785",NA,NA,NA,NA,NA,4.8,1.4,0,0.9,0,0,0,1.3,0.6,0.2,0.1,21,4.6,NA
"Noel, Jaylin","WR","HOU",NA,59.1,33.3,401,NA,NA,1.2,NA,2,NA,0,0.3,47,NA,NA,"FantasySharks","17080",NA,NA,NA,NA,NA,4.7,0.2,0.5,0,0,0.5,0,1.6,0.8,0.3,0.1,244,3.1,NA
"Aiyuk, Brandon","WR","SFO",NA,54.1,30.5,369,NA,NA,1,NA,14,NA,0,0,44.8,NA,NA,"FantasySharks","14840",NA,NA,NA,NA,NA,4.8,0,0,0.5,0.5,0,0,1.5,0.7,0.2,0.1,87,4.3,NA
"Legette, Xavier","WR","CAR",NA,55.9,32,323,NA,NA,2,NA,0,NA,0,0.2,44,NA,NA,"FantasySharks","16639",NA,NA,NA,NA,NA,9,1.2,0,0,0.8,0,0,1.3,0.6,0.2,0.1,44,5.6,NA
"Turpin, KaVontae","WR","DAL",NA,38.3,21.3,295,NA,NA,1.1,NA,86,NA,0,0.4,43.7,NA,NA,"FantasySharks","15981",NA,NA,NA,NA,NA,4.4,0,0.5,0,0,0,0.6,1.2,0.6,0.2,0.1,1251,2.6,NA
"Bryant, Pat","WR","DEN",NA,49.6,30.6,323,NA,NA,1.1,NA,6,NA,0,0,39.3,NA,NA,"FantasySharks","17082",NA,NA,NA,NA,NA,5.9,0,0,1.1,0,0,0,1.3,0.6,0.2,0.1,25,6,NA
"Johnson, Tez","WR","TBB",NA,32.1,18.2,194,NA,NA,2.8,NA,27,NA,0,0,38.8,NA,NA,"FantasySharks","17079",NA,NA,NA,NA,NA,4.5,0,1.1,1.7,0,0,0,0.8,0.4,0.1,0.1,60,2.8,NA
"Brown, Marquise","WR","PHI",NA,40.2,22.7,286,NA,NA,1.6,NA,0,NA,0,0,38.2,NA,NA,"FantasySharks","14105",NA,NA,NA,NA,NA,3,0.5,1.1,0,0,0,0,1.1,0.6,0.2,0.1,38,3.1,NA
"Wilson, Roman","WR","PIT",NA,40,21.8,279,NA,NA,1.4,NA,0,NA,0,0.1,36.1,NA,NA,"FantasySharks","16629",NA,NA,NA,NA,NA,4.2,0,0,1.4,0,0,0,1.1,0.6,0.2,0.1,0,3.9,NA
"Horton, Tory","WR","SEA",NA,20.3,10.5,171,NA,NA,2.3,NA,34,NA,0,0,34,NA,NA,"FantasySharks","17098",NA,NA,NA,NA,NA,1.5,0.1,0.7,1.5,0,0,0,0.7,0.3,0.1,0,56,2.9,NA
"Williams, Kyle","WR","NEP",NA,21.6,9,179,NA,NA,2.6,NA,2,NA,0,0,33.8,NA,NA,"FantasySharks","17134",NA,NA,NA,NA,NA,0.2,0.2,0,0,1.7,0,0.7,0.7,0.4,0.1,0,277,2.6,NA
"Raymond, Kalif","WR","CHI",NA,43.8,25.3,292,NA,NA,0.5,NA,15,NA,0,0,33.7,NA,NA,"FantasySharks","13066",NA,NA,NA,NA,NA,4.4,0.3,0,0.2,0,0,0,1.2,0.6,0.2,0.1,119,3.4,NA
"Williams, Antonio","WR","WAS",NA,46,24.5,285,NA,NA,0.6,NA,14,NA,0,0.4,33.5,NA,NA,"FantasySharks","17512",NA,NA,NA,NA,NA,5.2,0.6,0,0,0,0,0,1.1,0.6,0.2,0.1,82,2.6,NA
"Cooper Jr., Omar","WR","NYJ",NA,65.9,28.6,277,NA,NA,0.5,NA,7,NA,0,0.4,33.3,NA,NA,"FantasySharks","17502",NA,NA,NA,NA,NA,5.8,0.5,0,0,0,0,0,1.1,0.6,0.2,0.1,32,2.2,NA
"Shavers, Tyrell","WR","BUF",NA,18.5,12.9,237,NA,NA,1.5,NA,0,NA,0,0,33,NA,NA,"FantasySharks","16451",NA,NA,NA,NA,NA,0.8,0.4,0,0,0,0.2,1,0.9,0.5,0.2,0.1,47,1.9,NA
"Palmer, Joshua","WR","BUF",NA,43.6,22.8,318,NA,NA,0,NA,0,NA,0,0,32.5,NA,NA,"FantasySharks","15319",NA,NA,NA,NA,NA,4.3,0,0,0,0,0,0,1.3,0.6,0.2,0.1,23,1.4,NA
"Bourne, Kendrick","WR","ARI",NA,37.1,23.2,303,NA,NA,0,NA,3,NA,0.3,0,32.4,NA,NA,"FantasySharks","13418",NA,NA,NA,NA,NA,2.1,0,0,0,0,0,0,1.2,0.6,0.2,0.1,185,0.9,NA
"Mooney, Darnell","WR","NYG",NA,58.3,23,293,NA,NA,0.3,NA,0,NA,0,0,31.2,NA,NA,"FantasySharks","14974",NA,NA,NA,NA,NA,7.4,0,0,0.3,0,0,0,1.2,0.6,0.2,0.1,99,3,NA
"Dotson, Jahan","WR","ATL",NA,52.3,23.1,269,NA,NA,0.4,NA,2,NA,0,0,29.3,NA,NA,"FantasySharks","15755",NA,NA,NA,NA,NA,6.7,0.4,0,0,0,0,0,1.1,0.5,0.2,0.1,41,2.8,NA
"McCaffrey, Luke","WR","WAS",NA,23,12.7,184,NA,NA,1.5,NA,0,NA,0,0.2,28.4,NA,NA,"FantasySharks","16635",NA,NA,NA,NA,NA,2.6,0.6,0,0,0.7,0.2,0,0.7,0.4,0.1,0.1,599,2.2,NA
"Tyson, Jordyn","WR","NOS",NA,35.3,20.3,214,NA,NA,0.9,NA,10,NA,0,0,28,NA,NA,"FantasySharks","17498",NA,NA,NA,NA,NA,3.8,0,0.9,0,0,0,0,0.9,0.4,0.1,0.1,21,2.5,NA
"Bech, Jack","WR","LVR",NA,39.9,23.2,263,NA,NA,0,NA,3,NA,0,0,26.7,NA,NA,"FantasySharks","17078",NA,NA,NA,NA,NA,5.3,0,0,0,0,0,0,1.1,0.5,0.2,0.1,17,1.6,NA
"Lance, Bryce","WR","NOS",NA,39.3,25.1,241,NA,NA,0.3,NA,6,NA,0,0.8,25.9,NA,NA,"FantasySharks","17519",NA,NA,NA,NA,NA,2.2,0.3,0,0,0,0,0,1,0.5,0.2,0.1,224,1.6,NA
"Melton, Bo","WR","GBP",NA,35.2,17.5,193,NA,NA,0.8,NA,8,NA,0,0,24.9,NA,NA,"FantasySharks","15785",NA,NA,NA,NA,NA,5,0.8,0,0,0,0,0,0.8,0.4,0.1,0.1,109,5.3,NA
"Zaccheaus, Olamide","WR","ATL",NA,42,22.7,184,NA,NA,0.8,NA,12,NA,0,0,24.2,NA,NA,"FantasySharks","14592",NA,NA,NA,NA,NA,7,0.8,0,0,0,0,0,0.7,0.4,0.1,0.1,124,2.7,NA
"Bond, Isaiah","WR","CLE",NA,34.4,14.3,200,NA,NA,0,NA,35,NA,0,0,23.4,NA,NA,"FantasySharks","17076",NA,NA,NA,NA,NA,4.2,0,0,0,0,0,0,0.8,0.4,0.1,0.1,34,4.4,NA
"Stribling, De'Zhaun","WR","SFO",NA,31.6,17.1,198,NA,NA,0.4,NA,8,NA,0,0,23.4,NA,NA,"FantasySharks","17514",NA,NA,NA,NA,NA,3.2,0.4,0,0,0,0,0,0.8,0.4,0.1,0.1,156,2.1,NA
"Walker, Devontez","WR","BAL",NA,11.3,5.4,108,NA,NA,1.9,NA,0,NA,0,0,22.5,NA,NA,"FantasySharks","16621",NA,NA,NA,NA,NA,0.7,0.2,0.3,0.8,0.7,0,0,0.4,0.2,0.1,0,251,2.9,NA
"Atwell, Tutu","WR","LAR",NA,27.2,13,182,NA,NA,0.6,NA,0,NA,0,0,21.6,NA,NA,"FantasySharks","15301",NA,NA,NA,NA,NA,3.3,0.4,0,0,0,0,0.2,0.7,0.4,0.1,0.1,20,0.6,NA
"Metchie, John","WR","CAR",NA,40.5,24.6,201,NA,NA,0,NA,5,NA,0,0,20.6,NA,NA,"FantasySharks","15759",NA,NA,NA,NA,NA,5.9,0,0,0,0,0,0,0.8,0.4,0.1,0.1,78,2.2,NA
"Smith, Xavier","WR","LAR",NA,16.4,11.4,203,NA,NA,0,NA,0,NA,0,0,20.4,NA,NA,"FantasySharks","16428",NA,NA,NA,NA,NA,1.6,0,0,0,0,0,0,0.8,0.4,0.1,0.1,115,0,NA
"Whittington, Jordan","WR","LAR",NA,24.6,17,199,NA,NA,0,NA,5,NA,0,0,20.4,NA,NA,"FantasySharks","16633",NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0,0.8,0.4,0.1,0.1,469,0.3,NA
"Douglas, Caleb","WR","MIA",NA,37.1,19.1,177,NA,NA,0,NA,17,NA,0,0,19.4,NA,NA,"FantasySharks","17599",NA,NA,NA,NA,NA,4.7,0,0,0,0,0,0,0.7,0.4,0.1,0,228,1.6,NA
"Williams, Isaiah","WR","NYJ",NA,34.1,23.1,167,NA,NA,0,NA,18,NA,0,0,18.5,NA,NA,"FantasySharks","16630",NA,NA,NA,NA,NA,1.7,0,0,0,0,0,0,0.7,0.3,0.1,0,568,0.3,NA
"Hurst, Ted","WR","TBB",NA,27.5,17.6,168,NA,NA,0,NA,3,NA,0,0,17.9,NA,NA,"FantasySharks","17520",NA,NA,NA,NA,NA,1.2,0,0,0,0,0,0,0.7,0.3,0.1,0,152,0.8,NA
"Humphrey, Lil'Jordan","WR","DEN",NA,20.4,9.5,116,NA,NA,1.1,NA,0,NA,0,0,17.9,NA,NA,"FantasySharks","14118",NA,NA,NA,NA,NA,3.1,0.2,0,0.9,0,0,0,0.5,0.2,0.1,0,0,3.5,NA
"Lane, Ja'Kobi","WR","BAL",NA,26,9.7,128,NA,NA,0.8,NA,0,NA,0,0,17.8,NA,NA,"FantasySharks","17517",NA,NA,NA,NA,NA,2,0.4,0,0.4,0,0,0,0.5,0.3,0.1,0,0,0.9,NA
"Thompson, Brenen","WR","LAC",NA,34.1,18.5,171,NA,NA,0,NA,12,NA,0,0.4,17.6,NA,NA,"FantasySharks","17529",NA,NA,NA,NA,NA,4.2,0,0,0,0,0,0,0.7,0.3,0.1,0,145,1.7,NA
"Dulin, Ashton","WR","IND",NA,17.4,6.8,134,NA,NA,0,NA,25,NA,0,0.2,15.5,NA,NA,"FantasySharks","14315",NA,NA,NA,NA,NA,1.3,0,0,0,0,0,0,0.5,0.3,0.1,0,623,3.2,NA
"Corley, Malachi","WR","CLE",NA,14.4,10.3,80,NA,NA,0,NA,73,NA,0,0,15.3,NA,NA,"FantasySharks","16636",NA,NA,NA,NA,NA,1.2,0,0,0,0,0,0,0.3,0.2,0.1,0,397,1.7,NA
"Mumpfield, Konata","WR","LAR",NA,27.6,11.9,118,NA,NA,0.5,NA,0,NA,0,0,15,NA,NA,"FantasySharks","17254",NA,NA,NA,NA,NA,4.9,0.5,0,0,0,0,0,0.5,0.2,0.1,0,99,3.6,NA
"Williams, Savion","WR","GBP",NA,14.4,8.8,90,NA,NA,0.7,NA,16,NA,0,0.2,14.5,NA,NA,"FantasySharks","17096",NA,NA,NA,NA,NA,2.3,0.7,0,0,0,0,0,0.4,0.2,0.1,0,240,2.1,NA
"Horn, Jimmy","WR","CAR",NA,19.4,11.4,99,NA,NA,0,NA,38,NA,0,0,13.7,NA,NA,"FantasySharks","17234",NA,NA,NA,NA,NA,4.4,0,0,0,0,0,0,0.4,0.2,0.1,0,0,0.6,NA
"Davis, Gabriel","WR","BUF",NA,16,10.8,121,NA,NA,0.2,NA,0,NA,0,0,13.5,NA,NA,"FantasySharks","14845",NA,NA,NA,NA,NA,3.9,0.2,0,0,0,0,0,0.5,0.2,0.1,0,6,3.9,NA
"Patrick, Tim","WR","NYJ",NA,15.7,5.7,71,NA,NA,0.9,NA,0,NA,0,0,13.5,NA,NA,"FantasySharks","13377",NA,NA,NA,NA,NA,2.2,0.2,0,0.7,0,0,0,0.3,0.1,0.1,0,116,1.8,NA
"Skowronek, Ben","WR","PIT",NA,11.8,8.3,128,NA,NA,0,NA,0,NA,0,0,12.8,NA,NA,"FantasySharks","15491",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.5,0.3,0.1,0,21,0,NA
"Davis, Derius","WR","LAC",NA,10.2,5.4,54,NA,NA,1.3,NA,-3.6,NA,0,0,12.6,NA,NA,"FantasySharks","16299",NA,NA,NA,NA,NA,3.1,0,1,0.2,0,0,0,0.2,0.1,0,0,511,3.3,NA
"Walker, Jahdae","WR","CHI",NA,7.3,4,54,NA,NA,1.1,NA,0,NA,0,0,12.2,NA,NA,"FantasySharks","17353",NA,NA,NA,NA,NA,1.8,0.9,0,0.2,0,0,0,0.2,0.1,0,0,489,2,NA
"Cooper, Darius","WR","PHI",NA,13,10.7,114,NA,NA,0,NA,0,NA,0,0,11.4,NA,NA,"FantasySharks","17333",NA,NA,NA,NA,NA,1.6,0,0,0,0,0,0,0.5,0.2,0.1,0,0,0.4,NA
"Kirk, Christian","WR","SFO",NA,20.2,10.9,106,NA,NA,0,NA,1,NA,0,0,11,NA,NA,"FantasySharks","13633",NA,NA,NA,NA,NA,1.4,0,0,0,0,0,0,0.4,0.2,0.1,0,27,1.2,NA
"Brown, Dyami","WR","WAS",NA,22.8,9.8,93,NA,NA,0,NA,9,NA,0,0,10.3,NA,NA,"FantasySharks","15292",NA,NA,NA,NA,NA,6.1,0,0,0,0,0,0,0.4,0.2,0.1,0,88,3.5,NA
"Royals, Jalen","WR","KCC",NA,23.9,13,96,NA,NA,0,NA,4,NA,0,0,10.1,NA,NA,"FantasySharks","17086",NA,NA,NA,NA,NA,4.4,0,0,0,0,0,0,0.4,0.2,0.1,0,228,2.1,NA
"Sills, David","WR","TBB",NA,12.1,4.7,48,NA,NA,0.9,NA,0,NA,0,0,10,NA,NA,"FantasySharks","14110",NA,NA,NA,NA,NA,3.1,0.9,0,0,0,0,0,0.2,0.1,0,0,127,1.4,NA
"Remigio, Nikko","WR","KCC",NA,7,3.1,61,NA,NA,0.5,NA,0,NA,0,0,9,NA,NA,"FantasySharks","16422",NA,NA,NA,NA,NA,0.5,0,0.2,0,0,0.2,0,0.2,0.1,0,0,641,0.7,NA
"Brooks, Jalen","WR","ARI",NA,15.2,7.6,82,NA,NA,0,NA,0,NA,0,0,8.2,NA,NA,"FantasySharks","16364",NA,NA,NA,NA,NA,1.3,0,0,0,0,0,0,0.3,0.2,0.1,0,347,0.6,NA
"Mingo, Jonathan","WR","DAL",NA,22.5,6,67,NA,NA,0,NA,14,NA,0,0,8.2,NA,NA,"FantasySharks","16197",NA,NA,NA,NA,NA,1.7,0,0,0,0,0,0,0.3,0.1,0,0,124,1,NA
"Wayne, Jared","WR","HOU",NA,24.3,9.7,76,NA,NA,0,NA,0,NA,0,0,7.6,NA,NA,"FantasySharks","17011",NA,NA,NA,NA,NA,2.7,0,0,0,0,0,0,0.3,0.2,0.1,0,297,2.3,NA
"Johnson, Kameron","WR","TBB",NA,10.1,4.3,41,NA,NA,0.5,NA,6,NA,0,0,7.5,NA,NA,"FantasySharks","16883",NA,NA,NA,NA,NA,1.2,0,0.3,0,0.2,0,0,0.2,0.1,0,0,620,0.5,NA
"Thomas, Zavion","WR","CHI",NA,22.6,8.6,71,NA,NA,0,NA,1,NA,0,0,7.2,NA,NA,"FantasySharks","17521",NA,NA,NA,NA,NA,3.6,0,0,0,0,0,0,0.3,0.1,0.1,0,423,1.1,NA
"Tipton, Mason","WR","NOS",NA,14.3,6.9,61,NA,NA,0,NA,9,NA,0,0,6.9,NA,NA,"FantasySharks","16858",NA,NA,NA,NA,NA,1.8,0,0,0,0,0,0,0.2,0.1,0,0,243,0,NA
"Burks, Treylon","WR","WAS",NA,18.5,6.2,67,NA,NA,0,NA,0.1,NA,0,0,6.7,NA,NA,"FantasySharks","15752",NA,NA,NA,NA,NA,3.2,0,0,0,0,0,0,0.3,0.1,0,0,76,2.3,NA
"Bernard, Germie","WR","PIT",NA,25.1,10.5,66,NA,NA,0,NA,0,NA,0,0,6.6,NA,NA,"FantasySharks","17503",NA,NA,NA,NA,NA,2.6,0,0,0,0,0,0,0.3,0.1,0,0,55,0.9,NA
"Tremayne, Brycen","WR","CAR",NA,10.3,7.2,59,NA,NA,0,NA,4,NA,0,0,6.3,NA,NA,"FantasySharks","16949",NA,NA,NA,NA,NA,1.8,0,0,0,0,0,0,0.2,0.1,0,0,8,1,NA
"Moore, Elijah","WR","PHI",NA,8.9,4.5,53,NA,NA,0,NA,8,NA,0,0,6.2,NA,NA,"FantasySharks","15288",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0.1,0,0,74,0,NA
"Thornton, Dont'e","WR","LVR",NA,18.8,4.7,61,NA,NA,0,NA,0,NA,0,0,6.1,NA,NA,"FantasySharks","17087",NA,NA,NA,NA,NA,1.2,0,0,0,0,0,0,0.2,0.1,0,0,0,0.6,NA
"Bell, Chris","WR","MIA",NA,17.2,7.1,52,NA,NA,0,NA,4,NA,0,0,5.6,NA,NA,"FantasySharks","17506",NA,NA,NA,NA,NA,3.3,0,0,0,0,0,0,0.2,0.1,0,0,210,1.9,NA
"Felton, Tai","WR","MIN",NA,13.5,7.1,56,NA,NA,0,NA,0,NA,0,0,5.6,NA,NA,"FantasySharks","17097",NA,NA,NA,NA,NA,1.7,0,0,0,0,0,0,0.2,0.1,0,0,509,0,NA
"Lambert-Smith, KeAndre","WR","LAC",NA,15.2,4.7,45,NA,NA,0.2,NA,0,NA,0,0,5.6,NA,NA,"FantasySharks","17205",NA,NA,NA,NA,NA,1.3,0,0.2,0,0,0,0,0.2,0.1,0,0,584,0.5,NA
"Benson, Malik","WR","LVR",NA,15.1,5.3,49,NA,NA,0,NA,5,NA,0,0,5.4,NA,NA,"FantasySharks","17706",NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0,0.2,0.1,0,0,36,0.5,NA
"Proche, James","WR","TEN",NA,14.1,4.8,48,NA,NA,0,NA,0,NA,0,0,4.8,NA,NA,"FantasySharks","14848",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0.1,0,0,15,0,NA
"Bell, Skyler","WR","BUF",NA,20.4,7.4,45,NA,NA,0,NA,-1,NA,0,0,4.4,NA,NA,"FantasySharks","17508",NA,NA,NA,NA,NA,3.1,0,0,0,0,0,0,0.2,0.1,0,0,0,2.3,NA
"Brown, Barion","WR","NOS",NA,20.2,4.1,44,NA,NA,0,NA,-2,NA,0,0,4.2,NA,NA,"FantasySharks","17541",NA,NA,NA,NA,NA,1.1,0,0,0,0,0,0,0.2,0.1,0,0,375,1.5,NA
"Cameron, Josh","WR","JAC",NA,12.3,2.2,42,NA,NA,0,NA,0,NA,0,0,4.2,NA,NA,"FantasySharks","17527",NA,NA,NA,NA,NA,2.4,0,0,0,0,0,0,0.2,0.1,0,0,64,0.9,NA
"Martin, Tay","WR","DET",NA,6.3,3,38,NA,NA,0,NA,3,NA,0,0,4.1,NA,NA,"FantasySharks","15771",NA,NA,NA,NA,NA,0.9,0,0,0,0,0,0,0.2,0.1,0,0,7,0.3,NA
"Branch, Zachariah","WR","ATL",NA,12.6,4.2,39,NA,NA,0,NA,0,NA,0,0,3.9,NA,NA,"FantasySharks","17507",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0.2,0.1,0,0,284,0.4,NA
"Moore, Skyy","WR","GBP",NA,9.8,5.2,32,NA,NA,0,NA,15,NA,0,0.4,3.8,NA,NA,"FantasySharks","15766",NA,NA,NA,NA,NA,0.8,0,0,0,0,0,0,0.1,0.1,0,0,284,0,NA
"Smith, Arian","WR","NYJ",NA,16.7,6.4,35,NA,NA,0,NA,2,NA,0,0,3.7,NA,NA,"FantasySharks","17175",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0,0,85,0,NA
"Beckham, Odell","WR","NYG",NA,15.7,3.7,29,NA,NA,0,NA,0,NA,0,0,2.9,NA,NA,"FantasySharks","11679",NA,NA,NA,NA,NA,2.2,0,0,0,0,0,0,0.1,0.1,0,0,138,1.5,NA
"Watkins, Jordan","WR","SFO",NA,9.1,2.4,29,NA,NA,0,NA,0,NA,0,0,2.9,NA,NA,"FantasySharks","17192",NA,NA,NA,NA,NA,0.5,0,0,0,0,0,0,0.1,0.1,0,0,239,0.5,NA
"Allen, Cyrus","WR","KCC",NA,6.3,1.3,8,NA,NA,0,NA,6,NA,0,0,2.5,NA,NA,"FantasySharks","17518",NA,NA,NA,NA,NA,1.9,0,0,0,0,0,0,0,0,0,0,551,1.9,NA
"Young, Colbie","WR","CIN",NA,10.8,2.1,16,NA,NA,0,NA,1,NA,0,0,1.7,NA,NA,"FantasySharks","17542",NA,NA,NA,NA,NA,0.4,0,0,0,0,0,0,0.1,0,0,0,631,0.4,NA
"Miller, Ryan","WR","MIA",NA,3.5,1,13,NA,NA,0,NA,0,NA,0,0,1.3,NA,NA,"FantasySharks","16958",NA,NA,NA,NA,NA,0.4,0,0,0,0,0,0,0.1,0,0,0,65,0,NA
"Fields, Malachi","WR","NYG",NA,4.6,1.8,11,NA,NA,0,NA,0,NA,0,0,1.1,NA,NA,"FantasySharks","17511",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,452,0.8,NA
"Treadwell, Laquon","WR","IND",NA,4.9,0,0,NA,NA,0,NA,10,NA,0,0,1,NA,NA,"FantasySharks","12645",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,462,0.5,NA
"Sturdivant, J Michael","WR","GBP",NA,5.2,0,0,NA,NA,0,NA,9,NA,0,0,0.9,NA,NA,"FantasySharks","17707",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,90,0,NA
"Sarratt, Elijah","WR","BAL",NA,6.4,1.1,7,NA,NA,0,NA,0,NA,0,0,0.8,NA,NA,"FantasySharks","17505",NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,NA
"Williams, Ke'Shawn","WR","CIN",NA,0.3,0.3,1,NA,NA,0,NA,2,NA,0,0,0.3,NA,NA,"FantasySharks","17396",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,496,0,NA
"Wetjen, Kaden","WR","PIT",NA,0,0,0,NA,NA,0,NA,2,NA,0,0,0.2,NA,NA,"FantasySharks","17620",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,158,0,NA
"Foster, Montorie","WR","SEA",NA,7.3,0.2,1,NA,NA,0,NA,1,NA,0,0,0.2,NA,NA,"FantasySharks","17754",NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0,0,0,0,0,283,1.5,NA
"Cowing, Jacob","WR","SFO",NA,1.7,0.1,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,"FantasySharks","16640",NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0,0,2,0,NA
"Wallace, Tylan","WR","CLE",NA,9,0.1,1,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,"FantasySharks","15285",NA,NA,NA,NA,NA,0.6,0,0,0,0,0,0,0,0,0,0,86,0.6,NA
"Price, Myles","WR","MIN",NA,0.3,0.1,1,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,"FantasySharks","17360",NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0,0,1116,0,NA
"Puka Nacua","WR","LAR",NA,NA,116,1561,NA,NA,9,10,72,NA,1,NA,223.3,NA,"18605","FFToday","16211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Ja'Marr Chase","WR","CIN",NA,NA,116,1474,NA,NA,11,2,11,NA,0,NA,214.5,NA,"17533","FFToday","15281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Jaxon Smith-Njigba","WR","SEA",NA,NA,105,1521,NA,NA,8,5,30,NA,0,NA,203.1,NA,"18656","FFToday","16185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Amon-Ra St. Brown","WR","DET",NA,NA,119,1377,NA,NA,10,4,14,NA,0,NA,199.1,NA,"17712","FFToday","15287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Drake London","WR","ATL",NA,NA,99,1312,NA,NA,7,0,0,NA,0,NA,173.2,NA,"18137","FFToday","15751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Justin Jefferson","WR","MIN",NA,NA,95,1288,NA,NA,7,0,0,NA,0,NA,170.8,NA,"17123","FFToday","14836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
