"team","dst_int","dst_safety","dst_sacks","dst_tackles","dst_fum_rec","dst_fum_force","dst_td","dst_pts_allowed","dst_pts_allowed_g","dst_pass_yds_allowed","dst_rush_yds_allowed","dst_yds_allowed","dst_avg_yds_allowed","site_pts","site_fppg","data_src","id","pos","src_id","player","dst_fumbles","dst_yds_199","dst_yds_299","dst_yds_349","dst_yds_399","dst_yds_449","dst_yds_499","dst_yds_549","dst_yds_550","dst_pts_6","dst_pts_13","dst_pts_17","dst_pts_20","dst_pts_27","dst_pts_34","dst_pts_45","bye","dst_pass_yds_g","dst_rush_yds_g","dst_ret_tds"
"SFO",6.7,0,22.1,NA,5.1,NA,1.6,385.9,NA,NA,NA,5446.8,NA,132.9,NA,"FantasySharks","0530","D",NA,"49ers, San Francisco",NA,1.1,4.3,5.2,3.7,1.3,0.8,0.5,0.1,0.1,2.4,2.9,4,4.6,2.3,0.7,NA,NA,NA,NA
"DAL",4.4,0.6,35.5,NA,4.6,NA,1.6,517.8,NA,NA,NA,6481.8,NA,129.1,NA,"FantasySharks","0516","D",NA,"Cowboys, Dallas",NA,0.8,3.5,4.2,4.7,1.8,1.1,0.7,0.3,0,1.5,1.9,2.7,6.5,3.4,1.1,NA,NA,NA,NA
"Houston Texans",16,1,48,NA,10,NA,3,325,NA,NA,NA,NA,NA,126,NA,"FFToday","0532","DST","9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,220.9,107.5,1
"Pittsburgh Steelers",16,0,44,NA,12,NA,2,359,NA,NA,NA,NA,NA,118,NA,"FFToday","0510","DST","9008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,259.1,118,1
"Denver Broncos",12,1,57,NA,8,NA,2,326,NA,NA,NA,NA,NA,117,NA,"FFToday","0511","DST","9009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,230.5,109.4,1
"Minnesota Vikings",14,0,48,NA,11,NA,2,346,NA,NA,NA,NA,NA,116,NA,"FFToday","0524","DST","9022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,229.2,117.9,1
"Seattle Seahawks",14,1,46,NA,6,NA,3,313,NA,NA,NA,NA,NA,112,NA,"FFToday","0515","DST","9013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,229.1,111,1
"Los Angeles Chargers",17,0,47,NA,9,NA,1,350,NA,NA,NA,NA,NA,111,NA,"FFToday","0514","DST","9033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,216.6,116.2,1
"Buffalo Bills",17,1,40,NA,11,NA,2,367,NA,NA,NA,NA,NA,110,NA,"FFToday","0501","DST","9000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,213.8,134.1,0
"Jacksonville Jaguars",16,0,37,NA,10,NA,2,388,NA,NA,NA,NA,NA,107,NA,"FFToday","0509","DST","9029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,264.8,117.3,1
"Los Angeles Rams",13,1,44,NA,8,NA,2,368,NA,NA,NA,NA,NA,106,NA,"FFToday","0528","DST","9032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,242.9,122.3,1
"Philadelphia Eagles",12,0,42,NA,10,NA,2,317,NA,NA,NA,NA,NA,104,NA,"FFToday","0518","DST","9016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,218.9,122.3,1
"Detroit Lions",14,1,45,NA,8,NA,1,388,NA,NA,NA,NA,NA,103,NA,"FFToday","0522","DST","9020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,259.8,119.1,1
"New England Patriots",9,1,37,NA,9,NA,2,355,NA,NA,NA,NA,NA,99,NA,"FFToday","0504","DST","9003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,221.8,121.4,2
"Baltimore Ravens",13,0,45,NA,8,NA,1,374,NA,NA,NA,NA,NA,99,NA,"FFToday","0531","DST","9030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,256.7,106.1,1
"Cincinnati Bengals",14,0,38,NA,10,NA,1,429,NA,NA,NA,NA,NA,98,NA,"FFToday","0506","DST","9005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,249.4,134.6,1
"Cleveland Browns",12,0,45,NA,8,NA,2,412,NA,NA,NA,NA,NA,97,NA,"FFToday","0507","DST","9006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,215.9,124.1,0
"Green Bay Packers",11,0,41,NA,10,NA,1,356,NA,NA,NA,NA,NA,95,NA,"FFToday","0523","DST","9021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,223.1,123.9,1
"New Orleans Saints",12,0,42,NA,8,NA,2,390,NA,NA,NA,NA,NA,94,NA,"FFToday","0529","DST","9026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,228.6,132.5,0
"Chicago Bears",14,0,36,NA,9,NA,1,399,NA,NA,NA,NA,NA,94,NA,"FFToday","0521","DST","9019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,246.6,143.4,1
"Tampa Bay Buccaneers",11,1,41,NA,11,NA,1,396,NA,NA,NA,NA,NA,93,NA,"FFToday","0525","DST","9023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,263.8,104.8,0
"Indianapolis Colts",15,0,38,NA,9,NA,1,415,NA,NA,NA,NA,NA,92,NA,"FFToday","0502","DST","9001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,260.4,124.9,0
"New York Giants",10,0,41,NA,9,NA,1,390,NA,NA,NA,NA,NA,91,NA,"FFToday","0517","DST","9015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,238.4,135.4,1
"Dallas Cowboys",11,0,43,NA,7,NA,1,430,NA,NA,NA,NA,NA,91,NA,"FFToday","0516","DST","9014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,252.5,136.2,1
"Atlanta Falcons",11,1,40,NA,7,NA,2,412,NA,NA,NA,NA,NA,90,NA,"FFToday","0526","DST","9024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,236.9,131.9,0
"Washington Commanders",7,1,42,NA,8,NA,1,422,NA,NA,NA,NA,NA,86,NA,"FFToday","0520","DST","9018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,249.4,145,1
"Tennessee Titans",8,1,40,NA,7,NA,1,466,NA,NA,NA,NA,NA,84,NA,"FFToday","0508","DST","9007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,256.6,128.2,1
"Kansas City Chiefs",11,0,41,NA,7,NA,1,327,NA,NA,NA,NA,NA,83,NA,"FFToday","0512","DST","9010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,243.4,113.7,0
"Arizona Cardinals",11,1,36,NA,8,NA,1,427,NA,NA,NA,NA,NA,82,NA,"FFToday","0519","DST","9017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,242.5,135.9,0
"San Francisco 49ers",11,0,37,NA,7,NA,1,395,NA,NA,NA,NA,NA,79,NA,"FFToday","0530","DST","9027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,242.8,122.3,0
"Carolina Panthers",11,0,35,NA,7,NA,1,405,NA,NA,NA,NA,NA,77,NA,"FFToday","0527","DST","9028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,230.6,140.3,0
"New York Jets",8,1,37,NA,7,NA,0,435,NA,NA,NA,NA,NA,75,NA,"FFToday","0505","DST","9004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,246.6,137.9,1
"Las Vegas Raiders",9,1,37,NA,6,NA,1,431,NA,NA,NA,NA,NA,75,NA,"FFToday","0513","DST","9011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,229.1,124.7,0
"Miami Dolphins",9,0,37,NA,8,NA,0,417,NA,NA,NA,NA,NA,71,NA,"FFToday","0503","DST","9002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,240,136.1,0
"HOU",18,NA,52,NA,12,NA,NA,389,NA,NA,NA,5357,NA,NA,NA,"RTSports","0532","DST","9127","Houston Texans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAR",14,NA,53,NA,11,NA,NA,429,NA,NA,NA,5771,NA,NA,NA,"RTSports","0528","DST","179","Los Angeles Rams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEA",14,NA,49,NA,10,NA,NA,405,NA,NA,NA,5514,NA,NA,NA,"RTSports","0515","DST","169","Seattle Seahawks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEN",11,NA,63,NA,15,NA,NA,477,NA,NA,NA,5240,NA,NA,NA,"RTSports","0511","DST","89","Denver Broncos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHI",14,NA,54,NA,21,NA,NA,406,NA,NA,NA,5028,NA,NA,NA,"RTSports","0518","DST","154","Philadelphia Eagles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIN",12,NA,47,NA,13,NA,NA,409,NA,NA,NA,4971,NA,NA,NA,"RTSports","0524","DST","124","Minnesota Vikings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE",11,NA,36,NA,10,NA,NA,404,NA,NA,NA,5444,NA,NA,NA,"RTSports","0504","DST","134","New England Patriots",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAX",11,NA,40,NA,9,NA,NA,392,NA,NA,NA,5705,NA,NA,NA,"RTSports","0509","DST","109","Jacksonville Jaguars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIT",13,NA,46,NA,17,NA,NA,367,NA,NA,NA,5711,NA,NA,NA,"RTSports","0510","DST","159","Pittsburgh Steelers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAC",12,NA,54,NA,13,NA,NA,392,NA,NA,NA,5409,NA,NA,NA,"RTSports","0514","DST","164","Los Angeles Chargers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB",13,NA,56,NA,17,NA,NA,384,NA,NA,NA,5317,NA,NA,NA,"RTSports","0523","DST","99","Green Bay Packers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAL",13,NA,59,NA,10,NA,NA,338,NA,NA,NA,4942,NA,NA,NA,"RTSports","0531","DST","54","Baltimore Ravens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUF",13,NA,49,NA,20,NA,NA,365,NA,NA,NA,5648,NA,NA,NA,"RTSports","0501","DST","59","Buffalo Bills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DET",14,NA,46,NA,13,NA,NA,432,NA,NA,NA,5928,NA,NA,NA,"RTSports","0522","DST","94","Detroit Lions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KC",12,NA,51,NA,11,NA,NA,339,NA,NA,NA,5210,NA,NA,NA,"RTSports","0512","DST","114","Kansas City Chiefs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAL",11,NA,65,NA,14,NA,NA,687,NA,NA,NA,5810,NA,NA,NA,"RTSports","0516","DST","84","Dallas Cowboys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLE",12,NA,52,NA,13,NA,NA,400,NA,NA,NA,5959,NA,NA,NA,"RTSports","0507","DST","79","Cleveland Browns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NYG",9,NA,67,NA,16,NA,NA,403,NA,NA,NA,5878,NA,NA,NA,"RTSports","0517","DST","139","New York Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHI",12,NA,47,NA,15,NA,NA,378,NA,NA,NA,5789,NA,NA,NA,"RTSports","0521","DST","69","Chicago Bears",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATL",12,NA,38,NA,11,NA,NA,440,NA,NA,NA,5864,NA,NA,NA,"RTSports","0526","DST","49","Atlanta Falcons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NO",16,NA,42,NA,8,NA,NA,382,NA,NA,NA,5793,NA,NA,NA,"RTSports","0529","DST","129","New Orleans Saints",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",12,NA,46,NA,12,NA,NA,450,NA,NA,NA,5889,NA,NA,NA,"RTSports","0502","DST","104","Indianapolis Colts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIA",12,NA,38,NA,11,NA,NA,405,NA,NA,NA,5353,NA,NA,NA,"RTSports","0503","DST","119","Miami Dolphins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SF",15,NA,48,NA,11,NA,NA,342,NA,NA,NA,5114,NA,NA,NA,"RTSports","0530","DST","174","San Francisco 49ers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAR",13,NA,34,NA,10,NA,NA,458,NA,NA,NA,6364,NA,NA,NA,"RTSports","0527","DST","64","Carolina Panthers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEN",13,NA,44,NA,11,NA,NA,417,NA,NA,NA,5374,NA,NA,NA,"RTSports","0508","DST","189","Tennessee Titans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TB",11,NA,43,NA,13,NA,NA,343,NA,NA,NA,5464,NA,NA,NA,"RTSports","0525","DST","184","Tampa Bay Buccaneers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIN",12,NA,41,NA,13,NA,NA,390,NA,NA,NA,6032,NA,NA,NA,"RTSports","0506","DST","74","Cincinnati Bengals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",12,NA,46,NA,9,NA,NA,374,NA,NA,NA,5301,NA,NA,NA,"RTSports","0513","DST","149","Las Vegas Raiders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAS",13,NA,53,NA,14,NA,NA,485,NA,NA,NA,5925,NA,NA,NA,"RTSports","0520","DST","194","Washington Commanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARI",12,NA,46,NA,13,NA,NA,473,NA,NA,NA,5711,NA,NA,NA,"RTSports","0519","DST","44","Arizona Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NYJ",12,NA,48,NA,13,NA,NA,348,NA,NA,NA,4964,NA,NA,NA,"RTSports","0505","DST","144","New York Jets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
