"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_att","rush_yds","rush_tds","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Kenyon Sadiq","TE","NYJ",NA,NA,61,689,NA,NA,6,NA,165.9,NA,"19588","RTSports","17543",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenton Strange","TE","JAX",NA,NA,62,651,NA,NA,5,NA,157.1,NA,"18344","RTSports","16269",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Freiermuth","TE","PIT",NA,NA,58,597,NA,NA,6,NA,153.7,NA,"17395","RTSports","15331",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Njoku","TE","LAC",NA,NA,65,688,NA,NA,6,NA,169.8,NA,"15868","RTSports","13192",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Otton","TE","TB",NA,NA,62,602,NA,NA,5,NA,152.2,NA,"17932","RTSports","15802",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Schultz","TE","HOU",NA,NA,61,597,NA,NA,5,NA,150.7,NA,"16346","RTSports","13772",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Ferguson","TE","LAR",NA,NA,29,369,NA,NA,3,NA,83.9,NA,"19147","RTSports","17107",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Dulcich","TE","MIA",NA,NA,51,556,NA,NA,5,NA,136.6,NA,"17942","RTSports","15797",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gunnar Helm","TE","TEN",NA,NA,53,539,NA,NA,5,NA,136.9,NA,"19143","RTSports","17105",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oronde Gadsden II","TE","LAC",NA,NA,41,589,NA,NA,4,NA,123.9,NA,"19146","RTSports","17099",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Engram","TE","DEN",NA,NA,39,386,NA,NA,2,NA,89.6,NA,"15867","RTSports","13189",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Gesicki","TE","CIN",NA,NA,48,523,NA,NA,2,NA,112.3,NA,"16228","RTSports","13672",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Tonges","TE","SF",NA,NA,41,394,NA,NA,4,NA,104.4,NA,"19039","RTSports","16036",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJ Barner","TE","SEA",NA,NA,39,392,NA,NA,4,NA,102.2,NA,"18661","RTSports","16723",5,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason Taylor","TE","NYJ",NA,NA,42,407,NA,NA,2,NA,94.7,NA,"19145","RTSports","17106",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Stowers","TE","PHI",NA,NA,43,508,NA,NA,5,NA,123.8,NA,"19589","RTSports","17544",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonnu Smith","TE","GB",NA,NA,39,398,NA,NA,2,NA,90.8,NA,"15973","RTSports","13193",4,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Ertz","TE","WAS",NA,NA,38,395,NA,NA,2,NA,89.5,NA,"14320","RTSports","11247",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Arroyo","TE","SEA",NA,NA,33,383,NA,NA,3,NA,89.3,NA,"19144","RTSports","17108",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Max Klare","TE","LAR",NA,NA,33,371,NA,NA,3,NA,88.1,NA,"19590","RTSports","17547",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darnell Washington","TE","PIT",NA,NA,33,363,NA,NA,2,NA,81.3,NA,"18274","RTSports","16216",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Higbee","TE","LAR",NA,NA,31,318,NA,NA,3,NA,80.8,NA,"15496","RTSports","12678",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Parkinson","TE","LAR",NA,NA,28,286,NA,NA,4,NA,80.6,NA,"17048","RTSports","14871",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ja'Tavion Sanders","TE","CAR",NA,NA,35,336,NA,NA,2,NA,80.6,NA,"18659","RTSports","16643",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawson Knox","TE","BUF",NA,NA,28,330,NA,NA,3,NA,79,NA,"16624","RTSports","14143",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Fant","TE","NO",NA,NA,32,336,NA,NA,2,NA,77.6,NA,"16582","RTSports","14137",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Boerkircher","TE","JAX",NA,NA,28,307,NA,NA,3,NA,76.7,NA,"19604","RTSports","17591",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cole Kmet","TE","CHI",NA,NA,32,326,NA,NA,2,NA,76.6,NA,"17040","RTSports","14867",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Mayer","TE","LV",NA,NA,32,304,NA,NA,2,NA,74.4,NA,"18272","RTSports","16212",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Gray","TE","KC",NA,NA,29,293,NA,NA,2,NA,70.3,NA,"17546","RTSports","15337",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theo Johnson","TE","NYG",NA,NA,24,278,NA,NA,2,NA,63.8,NA,"18662","RTSports","16649",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hooper","TE","ATL",NA,NA,24,247,NA,NA,2,NA,60.7,NA,"15494","RTSports","12677",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Hibner","TE","BAL",NA,NA,22,253,NA,NA,2,NA,59.3,NA,"19615","RTSports","17627",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Kolar","TE","LAC",NA,NA,20,270,NA,NA,2,NA,59,NA,"17398","RTSports","15795",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Oliver","TE","MIN",NA,NA,20,202,NA,NA,3,NA,58.2,NA,"16593","RTSports","14209",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marlin Klein","TE","HOU",NA,NA,21,244,NA,NA,2,NA,57.4,NA,"19595","RTSports","17593",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Bellinger","TE","TEN",NA,NA,22,233,NA,NA,2,NA,57.3,NA,"17934","RTSports","15873",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Raridon","TE","NE",NA,NA,21,242,NA,NA,2,NA,57.2,NA,"19598","RTSports","17607",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Tremble","TE","CAR",NA,NA,23,212,NA,NA,2,NA,56.2,NA,"17480","RTSports","15332",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Trautman","TE","DEN",NA,NA,21,224,NA,NA,2,NA,55.4,NA,"17047","RTSports","14870",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elijah Higgins","TE","ARI",NA,NA,24,237,NA,NA,1,NA,53.7,NA,"18269","RTSports","16333",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitchell Evans","TE","CAR",NA,NA,21,197,NA,NA,2,NA,52.7,NA,"19149","RTSports","17109",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foster Moreau","TE","HOU",NA,NA,18,211,NA,NA,2,NA,51.1,NA,"16596","RTSports","14239",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Musgrave","TE","GB",NA,NA,22,224,NA,NA,1,NA,50.4,NA,"18273","RTSports","16215",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grant Calcaterra","TE","PHI",NA,NA,20,224,NA,NA,1,NA,48.4,NA,"17943","RTSports","15804",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Wright","TE","DET",NA,NA,18,162,NA,NA,2,NA,46.2,NA,"17740","RTSports","15626",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Hawes","TE","BUF",NA,NA,16,172,NA,NA,2,NA,45.2,NA,"19200","RTSports","17213",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis Allen","TE","LAR",NA,NA,21,181,NA,NA,1,NA,45.1,NA,"18434","RTSports","16219",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brevin Jordan","TE","HOU",NA,NA,19,193,NA,NA,1,NA,44.3,NA,"17396","RTSports","15330",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ben Sinnott","TE","WAS",NA,NA,19,193,NA,NA,1,NA,44.3,NA,"18664","RTSports","16644",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Stover","TE","HOU",NA,NA,21,161,NA,NA,1,NA,43.1,NA,"18660","RTSports","16642",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Ruckert","TE","NYJ",NA,NA,21,160,NA,NA,1,NA,43,NA,"17929","RTSports","15796",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanner Hudson","TE","CIN",NA,NA,18,171,NA,NA,1,NA,41.1,NA,"16900","RTSports","14370",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Dissly","TE","LAC",NA,NA,17,180,NA,NA,1,NA,41,NA,"16332","RTSports","13763",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oscar Delp","TE","NO",NA,NA,17,174,NA,NA,1,NA,40.4,NA,"19603","RTSports","17567",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Schoonmaker","TE","DAL",NA,NA,18,160,NA,NA,1,NA,40,NA,"18279","RTSports","16221",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seydou Traore","TE","MIA",NA,NA,14,177,NA,NA,1,NA,37.7,NA,"19611","RTSports","17655",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Sample","TE","CIN",NA,NA,18,131,NA,NA,1,NA,37.1,NA,"16665","RTSports","14146",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mo Alie-Cox","TE","IND",NA,NA,14,171,NA,NA,1,NA,37.1,NA,"16536","RTSports","13246",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Roush","TE","CHI",NA,NA,15,154,NA,NA,1,NA,36.4,NA,"19594","RTSports","17549",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donald Parham","TE","PIT",NA,NA,14,159,NA,NA,1,NA,35.9,NA,"16863","RTSports","14341",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Joly","TE","MIA",NA,NA,15,149,NA,NA,1,NA,35.9,NA,"19593","RTSports","17548",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Bates","TE","WAS",NA,NA,14,136,NA,NA,1,NA,33.6,NA,"17514","RTSports","15344",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jack Endries","TE","CIN",NA,NA,12,133,NA,NA,1,NA,31.3,NA,"19591","RTSports","17545",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kylen Granson","TE","TEN",NA,NA,15,161,NA,NA,0,NA,31.1,NA,"17516","RTSports","15419",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stone Smartt","TE","NO",NA,NA,14,159,NA,NA,0,NA,15.59,NA,"18569","RTSports","16113",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Conklin","TE","DET",NA,NA,12,118,NA,NA,1,NA,29.8,NA,"16364","RTSports","13675",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bauer Sharp","TE","TB",NA,NA,11,127,NA,NA,1,NA,29.7,NA,"19612","RTSports","17660",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Mitchell","TE","DAL",NA,NA,11,115,NA,NA,1,NA,28.5,NA,"17914","RTSports","15909",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jelani Woods","TE","NYJ",NA,NA,10,122,NA,NA,1,NA,28.2,NA,"17912","RTSports","15840",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brevyn Spann-Ford","TE","DAL",NA,NA,11,109,NA,NA,1,NA,27.9,NA,"18670","RTSports","16647",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Whyle","TE","GB",NA,NA,11,99,NA,NA,1,NA,26.9,NA,"18278","RTSports","16312",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connor Heyward","TE","LV",NA,NA,11,95,NA,NA,1,NA,26.5,NA,"18108","RTSports","15800",12,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick All","TE","CIN",NA,NA,10,105,NA,NA,1,NA,26.5,NA,"18671","RTSports","16645",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durham Smythe","TE","BAL",NA,NA,10,92,NA,NA,1,NA,25.2,NA,"16335","RTSports","13676",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lucas Krull","TE","DEN",NA,NA,10,91,NA,NA,1,NA,25.1,NA,"17913","RTSports","15970",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Farrell","TE","SF",NA,NA,10,86,NA,NA,1,NA,24.6,NA,"17532","RTSports","15335",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanner Koziol","TE","JAX",NA,NA,9,94,NA,NA,1,NA,24.4,NA,"19754","RTSports","17644",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Julian Hill","TE","NE",NA,NA,13,113,NA,NA,0,NA,24.3,NA,"18542","RTSports","16425",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Adkins","TE","DEN",NA,NA,10,77,NA,NA,1,NA,23.7,NA,"19034","RTSports","16474",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trey McBride","TE","ARI",NA,NA,108.9,1068.9,NA,NA,6.8,0.2,201.5,NA,"22936","FantasyPros","15794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Bowers","TE","LV",NA,NA,96.6,1023,NA,NA,7.5,0.2,195.4,NA,"22955","FantasyPros","16641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colston Loveland","TE","CHI",NA,NA,79.3,928.3,NA,NA,6.7,0.2,172.1,NA,"26006","FantasyPros","17104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Warren","TE","IND",NA,NA,78.9,877.8,NA,NA,5.5,0.3,159.7,NA,"26434","FantasyPros","17102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harold Fannin Jr.","TE","CLE",NA,NA,82.6,834.3,NA,NA,5.7,0.8,157.5,NA,"27050","FantasyPros","17103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","TE","SF",NA,NA,70.2,796.2,NA,NA,6.2,0.2,151.7,NA,"16499","FantasyPros","13299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam LaPorta","TE","DET",NA,NA,70.5,814,NA,NA,5.5,0.2,149,NA,"22978","FantasyPros","16214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Pitts Sr.","TE","ATL",NA,NA,76.8,844.9,NA,NA,4.4,0.1,149,NA,"20164","FantasyPros","15329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","TE","PHI",NA,NA,65.5,690.1,NA,NA,7.6,0.2,146.8,NA,"17270","FantasyPros","13674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE","KC",NA,NA,74.9,784.8,NA,NA,4.8,0.3,144.4,NA,"11594","FantasyPros","11244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
