"player","pos","team","games","fg","fg_att","fg_0019","fg_att_0019","fg_2029","fg_att_2029","fg_3039","fg_att_3039","fg_4049","fg_att_4049","fg_50","fg_att_50","xp","xp_att","site_pts","site_fppg","src_id","data_src","id","fg_50_att","fg_4049_att","fg_0039","fg_att_39","fg_miss","bye","fg_pct"
"Zane Gonzalez","K","MIA",NA,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,110,NA,"16071","RTSports","13347",NA,NA,NA,NA,NA,NA,NA
"Cade York","K","NYJ",NA,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,109,NA,"18047","RTSports","15882",NA,NA,NA,NA,NA,NA,NA
"Ben Sauls","K","NYG",NA,28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,115,NA,"19209","RTSports","17434",NA,NA,NA,NA,NA,NA,NA
"Brandon McManus","K","GB",NA,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,71,NA,"14990","RTSports","11947",NA,NA,NA,NA,NA,NA,NA
"Blake Grupe","K","NYJ",NA,31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,121,NA,"18537","RTSports","16444",NA,NA,NA,NA,NA,NA,NA
"Jason Sanders","K","NYJ",NA,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,66,NA,"16430","RTSports","13832",NA,NA,NA,NA,NA,NA,NA
"Jake Moody","K","BAL",NA,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,118,NA,"18371","RTSports","16286",NA,NA,NA,NA,NA,NA,NA
"Michael Badgley","K","BUF",NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,44,NA,"16531","RTSports","13980",NA,NA,NA,NA,NA,NA,NA
"John Parker Romo","K","ATL",NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,36,NA,"18696","RTSports","16405",NA,NA,NA,NA,NA,NA,NA
"Graham Gano","K","NYG",NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,25,NA,"13142","RTSports","9694",NA,NA,NA,NA,NA,NA,NA
"Younghoe Koo","K","NYG",NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,23,NA,"16106","RTSports","13403",NA,NA,NA,NA,NA,NA,NA
"Joshua Karty","K","ARI",NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,21,NA,"18841","RTSports","16775",NA,NA,NA,NA,NA,NA,NA
"Matthew Wright","K","BUF",NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,15,NA,"16903","RTSports","14426",NA,NA,NA,NA,NA,NA,NA
"Matt Prater","K","BUF",NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,14,NA,"12503","RTSports","8930",NA,NA,NA,NA,NA,NA,NA
"Brandon Aubrey","K","DAL",NA,34.8,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,151.4,NA,"26068","FantasyPros","16414",NA,NA,NA,NA,NA,NA,NA
"Jason Myers","K","SEA",NA,34.7,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3,NA,150.4,NA,"14003","FantasyPros","12437",NA,NA,NA,NA,NA,NA,NA
"Ka'imi Fairbairn","K","HOU",NA,36.3,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,NA,144.5,NA,"15756","FantasyPros","12860",NA,NA,NA,NA,NA,NA,NA
"Cameron Dicker","K","LAC",NA,34.3,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,142.7,NA,"23901","FantasyPros","15979",NA,NA,NA,NA,NA,NA,NA
"Harrison Mevis","K","LAR",NA,27.3,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,136.8,NA,"26638","FantasyPros","16843",NA,NA,NA,NA,NA,NA,NA
"Jake Bates","K","DET",NA,28.3,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,NA,136,NA,"26075","FantasyPros","16846",NA,NA,NA,NA,NA,NA,NA
"Spencer Shrader","K","IND",NA,30.6,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,NA,135.2,NA,"26763","FantasyPros","16896",NA,NA,NA,NA,NA,NA,NA
"Cairo Santos","K","CHI",NA,30,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,133.3,NA,"13731","FantasyPros","11945",NA,NA,NA,NA,NA,NA,NA
"Chase McLaughlin","K","TB",NA,31.5,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,NA,132.9,NA,"19058","FantasyPros","14717",NA,NA,NA,NA,NA,NA,NA
"Eddy Pineiro","K","SF",NA,31,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,132.1,NA,"17575","FantasyPros","13719",NA,NA,NA,NA,NA,NA,NA
