"player","pos","team","games","rush_att","rush_yds","rush_avg","rush_tds","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_09_tds","rush_1019_tds","rush_2029_tds","rush_3039_tds","rush_4049_tds","rush_50_tds","rush_50_yds","rush_100_yds","rec_rz_tgt","rec_50_yds","rec_100_yds","return_yds","scoring_opp","bye"
"Emari Demercado","RB","DAL",17,32,206,6.4,0,7,5,41,2.4,8.2,0,0,14,0.8,"2964372","CBS","16385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacob Saylors","RB","DET",17,29,136,4.7,1,5,4,40,2.4,10,0,0,13,0.8,"2976071","CBS","16850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Beck","FB","NYJ",17,1,8,8,0,7,5,35,2.1,7,2,0,13,0.8,"2131774","CBS","14319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Burton","FB","CLE",17,9,10,1.1,1,8,6,40,2.4,6.7,1,0,13,0.8,"1759407","CBS","12325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Kiner","RB","NE",17,34,151,4.4,1,3,2,20,1.2,10,0,0,13,0.8,"26698879","CBS","17274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emmett Johnson","RB","KC",17,30,126,4.2,1,3,2,23,1.4,11.5,0,0,12,0.7,"28877097","CBS","17474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demond Claiborne","RB","MIN",17,29,134,4.6,1,3,2,21,1.2,10.5,0,0,12,0.7,"28883197","CBS","17481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Audric Estime","RB","NO",17,30,122,4.1,1,3,3,24,1.4,8,0,0,12,0.7,"26713577","CBS","16595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonah Coleman","RB","DEN",17,32,134,4.2,1,3,3,23,1.4,7.7,0,0,12,0.7,"28877250","CBS","17477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ Giddens","RB","IND",17,32,133,4.2,1,1,1,11,0.6,11,0,0,11,0.6,"26695679","CBS","17060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kendre Miller","RB","NO",17,32,127,4,1,2,2,11,0.6,5.5,0,0,11,0.6,"3162256","CBS","16171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Holani","RB","SEA",17,35,118,3.4,1,4,4,30,1.8,7.5,0,0,11,0.6,"3131661","CBS","16608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devin Singletary","RB","NYG",17,35,130,3.7,1,1,1,10,0.6,10,0,0,11,0.6,"2241251","CBS","14080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kene Nwangwu","RB","NYJ",17,31,132,4.3,1,1,0,4,0.2,0,0,0,11,0.6,"2261254","CBS","15414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicholas Singleton","RB","TEN",17,25,104,4.2,1,3,2,21,1.2,10.5,0,0,11,0.6,"28876754","CBS","17476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Heidenreich","RB","PIT",17,29,117,4,1,3,2,21,1.2,10.5,0,0,11,0.6,"28901170","CBS","17685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zonovan Knight","RB","ARI",17,26,86,3.3,1,3,3,20,1.2,6.7,0,0,11,0.6,"3121860","CBS","15727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raheim Sanders","RB","CLE",17,29,107,3.7,1,3,2,17,1,8.5,0,0,11,0.6,"26700087","CBS","17062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameer Abdullah","RB","JAC",17,17,71,4.2,1,9,8,56,3.3,7,0,0,11,0.6,"1824308","CBS","12155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaac Guerendo","RB","SF",13,25,122,4.9,1,3,3,29,2.2,9.7,0,0,10,0.8,"2964154","CBS","16688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasheen Ali","RB","BAL",17,13,47,3.6,0,9,7,53,3.1,7.6,1,0,9,0.5,"3168797","CBS","16746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ollie Gordon II","RB","MIA",17,31,80,2.6,1,1,1,4,0.2,4,0,0,9,0.5,"28873887","CBS","17059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahmyr Gibbs","RB","DET",NA,286,1389,NA,14,86,68,546,NA,NA,3,NA,NA,NA,"4429795","ESPN","16162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bijan Robinson","RB","ATL",NA,287,1372,NA,8,99,76,708,NA,NA,3,NA,NA,NA,"4430807","ESPN","16161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Taylor","RB","IND",NA,326,1502,NA,12,63,50,390,NA,NA,1,NA,NA,NA,"4242335","ESPN","14802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian McCaffrey","RB","SF",NA,274,1130,NA,9,100,79,678,NA,NA,5,NA,NA,NA,"3117251","ESPN","13130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Cook III","RB","BUF",NA,300,1405,NA,11,46,36,302,NA,NA,2,NA,NA,NA,"4379399","ESPN","15715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Von Achane","RB","MIA",NA,258,1311,NA,5,80,65,513,NA,NA,3,NA,NA,NA,"4429160","ESPN","16167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omarion Hampton","RB","LAC",NA,254,1085,NA,9,64,52,363,NA,NA,2,NA,NA,NA,"4685382","ESPN","17044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Brown","RB","CIN",NA,238,1036,NA,7,81,64,434,NA,NA,3,NA,NA,NA,"4362238","ESPN","16181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saquon Barkley","RB","PHI",NA,300,1284,NA,9,59,43,371,NA,NA,2,NA,NA,NA,"3929630","ESPN","13604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Henry","RB","BAL",NA,322,1505,NA,13,28,21,210,NA,NA,1,NA,NA,NA,"3043078","ESPN","12626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashton Jeanty","RB","LV",NA,278,1122,NA,7,86,65,492,NA,NA,2,NA,NA,NA,"4890973","ESPN","17042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremiyah Love","RB","ARI",NA,253,1119,NA,7,86,65,486,NA,NA,2,NA,NA,NA,"4870808","ESPN","17472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenneth Walker III","RB","KCC",NA,277,1239,NA,9,60,48,376,NA,NA,2,NA,NA,NA,"4567048","ESPN","15711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breece Hall","RB","NYJ",NA,265,1163,NA,8,64,52,440,NA,NA,3,NA,NA,NA,"4427366","ESPN","15708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javonte Williams","RB","DAL",NA,289,1263,NA,11,51,37,218,NA,NA,2,NA,NA,NA,"4361579","ESPN","15256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
