"player","pos","team","games","rush_att","rush_yds","rush_avg","rush_tds","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_09_tds","rush_1019_tds","rush_2029_tds","rush_3039_tds","rush_4049_tds","rush_50_tds","rush_50_yds","rush_100_yds","rec_rz_tgt","rec_50_yds","rec_100_yds","return_yds","scoring_opp","bye"
"George Holani","RB","SEA",NA,39,164,NA,2,11,8,62,NA,NA,0,NA,NA,NA,"4429835","ESPN","16608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyrone Tracy Jr.","RB","NYG",NA,36,152,NA,1,15,12,87,NA,NA,0,NA,NA,NA,"4360516","ESPN","16747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sean Tucker","RB","TB",NA,44,182,NA,2,3,2,14,NA,NA,0,NA,NA,NA,"4430871","ESPN","16166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seth McGowan","RB","IND",NA,33,138,NA,1,11,9,59,NA,NA,0,NA,NA,NA,"4686468","ESPN","17475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan James","RB","SF",NA,35,151,NA,1,5,4,31,NA,NA,0,NA,NA,NA,"4685397","ESPN","17055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Shipley","RB","PHI",NA,9,40,NA,0,15,11,83,NA,NA,0,NA,NA,NA,"4431545","ESPN","16601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emanuel Wilson","RB","SEA",NA,11,48,NA,0,2,1,10,NA,NA,0,NA,NA,NA,"4887558","ESPN","16432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emari Demercado","RB","DAL",NA,27,126,NA,1,6,4,28,NA,NA,0,NA,NA,NA,"4362478","ESPN","16385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaleb Johnson","RB","GB",NA,8,33,NA,0,2,1,10,NA,NA,0,NA,NA,NA,"4819231","ESPN","17048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicholas Singleton","RB","TEN",NA,20,84,NA,1,6,4,30,NA,NA,0,NA,NA,NA,"4685555","ESPN","17476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kendre Miller","RB","NO",NA,24,100,NA,0,4,3,22,NA,NA,0,NA,NA,NA,"4599739","ESPN","16171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tahj Brooks","RB","CIN",NA,30,128,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4429299","ESPN","17058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demond Claiborne","RB","MIN",NA,14,59,NA,0,6,5,29,NA,NA,0,NA,NA,NA,"4832846","ESPN","17481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasheen Ali","RB","BAL",NA,15,62,NA,0,5,4,28,NA,NA,0,NA,NA,NA,"4690013","ESPN","16746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaytron Allen","RB","WAS",NA,12,51,NA,0,5,4,29,NA,NA,0,NA,NA,NA,"4685246","ESPN","17478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJ Giddens","RB","IND",NA,13,53,NA,0,5,4,29,NA,NA,0,NA,NA,NA,"4874509","ESPN","17060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sione Vaki","RB","DET",NA,7,27,NA,0,2,1,9,NA,NA,0,NA,NA,NA,"4912274","ESPN","16678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kene Nwangwu","RB","NYJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4035537","ESPN","15414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bam Knight","RB","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4427728","ESPN","15727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dylan Laube","RB","LV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4366963","ESPN","16613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Badie","RB","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4362748","ESPN","15718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameer Abdullah","RB","JAC",NA,1,2,NA,0,1,1,5,NA,NA,0,NA,NA,NA,"2576336","ESPN","12155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Randall","RB","BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4685526","ESPN","17652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Conner","RB","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3045147","ESPN","13146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trey Benson","RB","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4429275","ESPN","16594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riley Nowakowski","RB","PIT",NA,NA,NA,NA,NA,6,4,29,NA,NA,0,NA,NA,NA,"4693370","ESPN","17648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahmyr Gibbs","RB","DET",NA,281.4,1415.5,NA,14.1,NA,71.7,583.8,NA,NA,4.1,1.1,342.8,NA,"22968","FantasyPros","16162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bijan Robinson","RB","ATL",NA,285.8,1391.5,NA,8.8,NA,76.9,705.2,NA,NA,3.5,1.8,318.2,NA,"23133","FantasyPros","16161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian McCaffrey","RB","SF",NA,269.7,1093.6,NA,8.7,NA,78.6,693,NA,NA,4.6,1.1,295.5,NA,"16393","FantasyPros","13130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Taylor","RB","IND",NA,327.9,1506.8,NA,12.9,NA,43.8,348,NA,NA,1.5,1.7,290,NA,"19217","FantasyPros","14802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Henry","RB","BAL",NA,316,1577.6,NA,13.4,NA,18.1,175,NA,NA,0.7,1.7,265.9,NA,"15514","FantasyPros","12626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Von Achane","RB","MIA",NA,238.4,1200.5,NA,6,NA,65.5,491.8,NA,NA,4,1,260,NA,"23136","FantasyPros","16167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Cook III","RB","BUF",NA,287.8,1405.6,NA,10.3,NA,33.3,283.5,NA,NA,1.9,2.4,254.1,NA,"22958","FantasyPros","15715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Brown","RB","CIN",NA,238.7,1036.6,NA,7.8,NA,64.1,427.7,NA,NA,3.9,1.1,246.8,NA,"25324","FantasyPros","16181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saquon Barkley","RB","PHI",NA,295.8,1298,NA,8.2,NA,42.1,330.6,NA,NA,2.1,1,243.8,NA,"17240","FantasyPros","13604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenneth Walker III","RB","KC",NA,267.2,1207.1,NA,8.7,NA,45.8,352.3,NA,NA,1.2,0.9,236.3,NA,"23021","FantasyPros","15711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibbs, Jahmyr","RB","DET",NA,211.7,1099,NA,12.9,75.2,58.3,534,NA,NA,4,0.8,263.1,NA,NA,"FantasySharks","16162",7,2.6,0.4,0.4,1.3,1.2,12.1,2.6,12.3,2.1,1.1,0,30.4,NA
"Robinson, Bijan","RB","ATL",NA,260.2,1285,NA,9.4,81.7,61.7,562,NA,NA,2.5,1.5,254.7,NA,NA,"FantasySharks","16161",7.3,0.8,0,0.4,0,0.9,12.9,6,10.1,2.2,1.1,0,29.1,NA
"Taylor, Jonathan","RB","IND",NA,289,1326,NA,13,45.1,32.5,243,NA,NA,1.3,1.1,241.4,NA,NA,"FantasySharks","14802",8.6,1,1.3,0,0.4,1.7,12.6,9.1,3.9,1,0.5,4,37.3,NA
"Henry, Derrick","RB","BAL",NA,259.8,1462,NA,13.1,17,12.5,133,NA,NA,0.4,2,236.5,NA,NA,"FantasySharks","12626",9.5,0,2.1,0.4,1.1,0,13.2,9.6,3.1,0.5,0.3,0,31.6,NA
"McCaffrey, Christian","RB","SFO",NA,240.2,945,NA,6.1,96.9,76.4,682,NA,NA,5.9,0.6,233.6,NA,NA,"FantasySharks","13130",5.5,0.7,0,0,0,0,11.5,1.9,18.5,3.2,1.4,0,35.8,NA
"Cook, James","RB","BUF",NA,261.8,1298,NA,11.5,40.6,31.6,259,NA,NA,1.6,2.4,229.8,NA,NA,"FantasySharks","15715",7.7,0.7,0.1,0,2.5,0.6,12.9,6,2.8,1,0.5,0,35.9,NA
"Barkley, Saquon","RB","PHI",NA,269.6,1277,NA,8.4,43,29.2,242,NA,NA,1.2,0.9,209.7,NA,NA,"FantasySharks","13604",2.6,1.8,0.8,0.4,0,2.8,11.9,8.5,5.5,1,0.5,0,28.9,NA
"Achane, De'Von","RB","MIA",NA,190,1005,NA,5.9,73.4,57.1,415,NA,NA,3.7,0.2,199.2,NA,NA,"FantasySharks","16167",2,1.1,0.6,0.3,1.2,0.7,11.2,2,10.1,1.7,0.8,0,23.9,NA
"Brown, Chase","RB","CIN",NA,222.4,958,NA,6,80.5,61.8,410,NA,NA,4.4,0.4,197.9,NA,NA,"FantasySharks","16181",5,0.5,0,0.4,0,0,11.4,1.9,12,1.6,0.8,0,28.5,NA
"Williams, Kyren","RB","LAR",NA,236.7,1100,NA,8.7,42.4,29.4,220,NA,NA,2.6,1.7,196.7,NA,NA,"FantasySharks","15710",8.7,0,0,0,0,0,11.7,2.2,8.9,0.9,0.4,0,27.3,NA
"Hampton, Omarion","RB","LAC",NA,248.9,1017,NA,8.9,57.6,48.1,257,NA,NA,2.1,0,193.4,NA,NA,"FantasySharks","17044",7.3,0.3,0.3,0,0,1,8.1,2,6.2,1,0.5,49,27.1,NA
"Jeanty, Ashton","RB","LVR",NA,268.7,975,NA,4.9,82.1,61.9,395,NA,NA,4.2,0.2,191,NA,NA,"FantasySharks","17042",3.5,0,0,0,0,1.4,8.5,2,9.1,1.6,0.8,5,21.9,NA
"Walker III, Kenneth","RB","KCC",NA,249.1,1111,NA,6.6,50.7,38.5,290,NA,NA,1.6,0.3,188.9,NA,NA,"FantasySharks","15711",5.6,0.7,0,0,0,0.3,8.2,2.2,7.1,1.2,0.6,66,24,NA
"Price, Jadarian","RB","SEA",NA,173.7,800,NA,11.8,38.1,33,315,NA,NA,0.3,0,184,NA,NA,"FantasySharks","17473",8.1,1.6,1.4,0,0,0.7,10,1.6,4.7,1.3,0.6,0,30.6,NA
"Williams, Javonte","RB","DAL",NA,237.6,1075,NA,9.5,50.6,33.6,158,NA,NA,1.1,1.6,183.9,NA,NA,"FantasySharks","15256",7.8,1.1,0,0.6,0,0,12.5,2.1,10.8,0.6,0.3,0,29.6,NA
"Etienne, Travis","RB","NOS",NA,248.2,968,NA,6.5,55,39.7,286,NA,NA,2.6,0.3,179.3,NA,NA,"FantasySharks","15253",3,1.5,0.7,0.7,0.6,0,11.3,1.9,6,1.1,0.6,0,27.7,NA
"Swift, D'Andre","RB","CHI",NA,229.8,1033,NA,8.1,43.8,31.2,276,NA,NA,0.1,0.6,179.1,NA,NA,"FantasySharks","14797",5.4,1.1,0.7,0.4,0,0.4,12.5,2.1,0.6,1.1,0.6,0,25.4,NA
"Skattebo, Cam","RB","NYG",NA,186.9,800,NA,6,59.1,45.2,395,NA,NA,3.4,1.6,174,NA,NA,"FantasySharks","17045",3.6,1.3,0.5,0.3,0.3,0,8.9,1.6,7.1,1.6,0.8,66,22.3,NA
"Stevenson, Rhamondre","RB","NEP",NA,182.8,808,NA,7,46.8,36.9,375,NA,NA,2.7,1.9,173.9,NA,NA,"FantasySharks","15259",3.9,0.5,0.8,0.5,0,1.2,6.5,1.6,5,1.5,0.8,21,22,NA
"Hall, Breece","RB","NYJ",NA,227,980,NA,4.5,59.8,41.6,385,NA,NA,1.9,1.5,173.7,NA,NA,"FantasySharks","15708",2.2,0.8,0.6,0,0,0.9,12.1,2,11.1,1.5,0.8,0,16.7,NA
"Jacobs, Josh","RB","GBP",NA,206.9,848,NA,10.8,34,26,221,NA,NA,0.9,2.4,172.5,NA,NA,"FantasySharks","14073",9.4,0.5,0,0.3,0.6,0,7.8,1.7,4.3,0.9,0.4,43,30.5,NA
"Love, Jeremiyah","RB","ARI",NA,200.5,880,NA,5.6,66.5,52.2,402,NA,NA,1.7,0.7,171.4,NA,NA,"FantasySharks","17472",5.1,0,0,0,0,0.4,4.6,1.8,7.1,1.6,0.8,21,19.5,NA
"Irving, Bucky","RB","TBB",NA,226.2,948,NA,4.8,51.9,42.2,337,NA,NA,2.2,0.9,169,NA,NA,"FantasySharks","16598",3.1,1.7,0,0,0,0,11.4,1.9,7.8,1.3,0.7,78,22,NA
"Tuten, Bhayshul","RB","JAC",NA,176.7,747,NA,8.8,33.4,25.3,178,NA,NA,3.5,0.3,166.1,NA,NA,"FantasySharks","17052",7.7,0,0.8,0,0.3,0,3.9,1.5,5.7,0.7,0.4,88,24.3,NA
"Henderson, TreVeyon","RB","NEP",NA,198.4,875,NA,7.5,46.2,37.4,266,NA,NA,1.2,0.6,165.1,NA,NA,"FantasySharks","17043",4.7,0,0.2,0,0,2.6,4.7,1.7,3.9,1,0.5,207,20.4,NA
"Montgomery, David","RB","HOU",NA,217,875,NA,6.7,39.6,31,222,NA,NA,1.3,0.6,157.6,NA,NA,"FantasySharks","14071",4.7,0.4,0.7,0.8,0,0,3.5,1.7,4.9,0.9,0.4,0,27.9,NA
"Judkins, Quinshon","RB","CLE",NA,263.5,900,NA,6.1,58.4,41.3,265,NA,NA,0.2,0,157.2,NA,NA,"FantasySharks","17051",5.5,0,0,0,0.4,0.2,4.2,1.8,3.6,1.1,0.5,92,23.1,NA
"Hubbard, Chuba","RB","CAR",NA,190.1,770,NA,7.2,50.1,34.8,228,NA,NA,2,1.3,153.3,NA,NA,"FantasySharks","15261",6.2,0.5,0.5,0,0,0,5.4,1.6,6.8,0.9,0.5,28,20.8,NA
"Monangai, Kyle","RB","CHI",NA,187,767,NA,5.2,43.9,27.1,252,NA,NA,0,0,138,NA,NA,"FantasySharks","17066",5.2,0,0,0,0,0,3.1,1.5,5.1,1,0.5,1,20.5,NA
"Harvey, RJ","RB","DEN",NA,126.2,470,NA,4.8,56.9,44.7,338,NA,NA,4.5,0.5,135.7,NA,NA,"FantasySharks","17068",3.5,0,0,0.6,0.7,0,1.9,0.9,8.9,1.4,0.7,314,14.7,NA
"Warren, Jaylen","RB","PIT",NA,160.1,725,NA,4.5,39.8,33.3,261,NA,NA,1.1,0,132.5,NA,NA,"FantasySharks","15742",2.9,0.2,0,0,1.5,0,8.9,1.5,4.7,1,0.5,178,18.1,NA
"Croskey-Merritt, Jacory","RB","WAS",NA,165.4,750,NA,8.1,17,12.5,81,NA,NA,0,1.2,129.8,NA,NA,"FantasySharks","17256",4,2.6,0,0,0.2,1.2,3.5,1.5,0.9,0.3,0.2,42,25.5,NA
"Dobbins, J.K.","RB","DEN",NA,170.7,810,NA,5.1,33.9,26.3,145,NA,NA,0.5,0.4,127.9,NA,NA,"FantasySharks","14800",3.7,1.4,0,0,0,0,9.8,1.6,3.6,0.6,0.3,0,14.6,NA
"Pollard, Tony","RB","TEN",NA,208.7,902,NA,3.7,42.9,29.4,172,NA,NA,0,1.8,127,NA,NA,"FantasySharks","14085",2.2,0.4,0.4,0.4,0,0.4,10.5,1.8,1.5,0.7,0.3,0,12.1,NA
"Jones, Aaron","RB","MIN",NA,173.7,750,NA,3.3,51.7,33.1,213,NA,NA,1.1,1.7,119.2,NA,NA,"FantasySharks","13319",2.7,0.6,0,0,0,0,8.2,1.5,9.6,0.9,0.4,0,11.5,NA
"Brooks, Jonathon","RB","CAR",NA,163,978,NA,0.5,41.7,34,206,NA,NA,0,1.9,117.4,NA,NA,"FantasySharks","16597",0.5,0,0,0,0,0,1.9,1,11.4,0.8,0.4,332,10,NA
"Dowdle, Rico","RB","PIT",NA,153.1,668,NA,3.6,39.6,30.7,239,NA,NA,0.9,1.1,115.8,NA,NA,"FantasySharks","14823",3.6,0,0,0,0,0,4.3,1.3,3.4,1,0.5,288,12.7,NA
"Marks, Woody","RB","HOU",NA,198.8,725,NA,2.3,32.4,20.8,167,NA,NA,1.5,0.8,110.9,NA,NA,"FantasySharks","17053",1.5,0.8,0,0,0,0,2.9,1.5,6.8,0.7,0.3,0,17.8,NA
"Corum, Blake","RB","LAR",NA,161.2,750,NA,4.2,18.2,14.7,100,NA,NA,0,0,110.4,NA,NA,"FantasySharks","16593",2.9,0.9,0,0,0.5,0,3,1.5,0,0.4,0.2,257,17.7,NA
"Mason, Jordan","RB","MIN",NA,156.3,741,NA,4.5,20.7,14.9,65,NA,NA,0.2,0.5,108,NA,NA,"FantasySharks","15972",3.4,1,0,0,0,0,2.6,1.3,2,0.2,0.1,0,8.9,NA
"Charbonnet, Zach","RB","SEA",NA,105.6,434,NA,7,16.9,13.7,100,NA,NA,0,0,96.6,NA,NA,"FantasySharks","16169",5.5,0.7,0.8,0,0,0,1.7,0.9,2.2,0.4,0.2,0,16.5,NA
"Gainwell, Kenneth","RB","TBB",NA,91.1,396,NA,2.8,57.3,45.1,306,NA,NA,1.7,0.5,96.1,NA,NA,"FantasySharks","15255",2.8,0,0,0,0,0,1.6,0.8,10.3,1.2,0.6,328,16.1,NA
"Rodriguez, Chris","RB","JAC",NA,122.7,505,NA,5.2,12.9,8.5,68,NA,NA,1,0,94.6,NA,NA,"FantasySharks","16174",5.2,0,0,0,0,0,2,1,1.8,0.3,0.1,295,19.1,NA
"Spears, Tyjae","RB","TEN",NA,100.7,400,NA,3.4,64.1,53.6,307,NA,NA,0.2,0,92.3,NA,NA,"FantasySharks","16165",2.7,0.7,0,0,0,0,1.6,0.8,8.3,1.2,0.6,132,11.9,NA
"White, Rachaad","RB","WAS",NA,132.9,556,NA,2.4,40.8,32.4,176,NA,NA,0,0.3,87.1,NA,NA,"FantasySharks","15721",2.4,0,0,0,0,0,2.2,1.1,8.6,0.7,0.4,7,17.8,NA
"Tracy, Tyrone","RB","NYG",NA,122.8,503,NA,1.5,31.2,23.2,191,NA,NA,0.9,0.2,83.3,NA,NA,"FantasySharks","16747",0,0.7,0,0.7,0,0,2,1,2.8,0.8,0.4,166,7.1,NA
"Vidal, Kimani","RB","LAC",NA,143.6,525,NA,2.5,20.4,13.7,123,NA,NA,0.2,0,80.9,NA,NA,"FantasySharks","16757",1.6,0,0,0,0,0.9,2.1,1.1,5.1,0.5,0.2,225,13.3,NA
"Allgeier, Tyler","RB","ARI",NA,101.5,369,NA,3.5,28.5,20.3,158,NA,NA,0.3,0,75.5,NA,NA,"FantasySharks","15712",2.4,0.5,0.5,0,0,0,1.5,0.7,4.5,0.6,0.3,55,10.4,NA
"Lloyd, MarShawn","RB","GBP",NA,111.1,455,NA,2.5,30.9,22.1,155,NA,NA,0.2,1,75,NA,NA,"FantasySharks","16604",2.2,0.1,0,0,0.1,0,2.8,0.9,4.9,0.6,0.3,51,11.4,NA
"Bigsby, Tank","RB","PHI",NA,99.8,477,NA,3.2,11,8,65,NA,NA,0,0.5,72.6,NA,NA,"FantasySharks","16164",2,0,1.3,0,0,0,1.9,1,2,0.3,0.1,158,13.1,NA
"Singletary, Devin","RB","NYG",NA,98.6,347,NA,4,16.9,15,119,NA,NA,0,0,70.7,NA,NA,"FantasySharks","14080",3.8,0,0.2,0,0,0,1.4,0.7,1.9,0.5,0.2,233,15.5,NA
"Davis, Ray","RB","BUF",NA,63.1,289,NA,0.9,18.1,14.6,187,NA,NA,2.7,0,69.6,NA,NA,"FantasySharks","16603",0.9,0,0,0,0,0,1.2,0.6,2.4,0.7,0.4,661,6.3,NA
"Coleman, Jonah","RB","DEN",NA,84.8,486,NA,0.9,35.5,20.2,166,NA,NA,0,0.6,69.2,NA,NA,"FantasySharks","17477",0.9,0,0,0,0,0,1,0.5,5,0.6,0.3,248,10.9,NA
"Holani, George","RB","SEA",NA,107.1,422,NA,2.4,24.3,19.1,125,NA,NA,0,0.7,68.9,NA,NA,"FantasySharks","16608",2.1,0,0.2,0,0,0,1.7,0.8,2.5,0.5,0.2,36,6.1,NA
"Robinson, Brian","RB","ATL",NA,107.6,433,NA,2.5,13.7,10.2,54,NA,NA,0,0.6,62.5,NA,NA,"FantasySharks","15716",1.3,0.9,0.3,0,0,0,1.7,0.9,2.9,0.2,0.1,225,6.6,NA
"Knight, Bam","RB","ARI",NA,64.3,260,NA,3.5,26,17.9,135,NA,NA,0.4,0.1,62.5,NA,NA,"FantasySharks","15727",3.5,0,0,0,0,0,1,0.5,6.3,0.5,0.3,231,11.7,NA
"Davis, Malik","RB","DAL",NA,81.8,377,NA,3.2,16.1,10.4,58,NA,NA,0,0.5,61.8,NA,NA,"FantasySharks","15738",2.1,0,0,0,1.1,0,1.5,0.8,1.2,0.2,0.1,16,7,NA
"Johnson, Ty","RB","BUF",NA,41.1,175,NA,1.8,24.9,17.8,210,NA,NA,1.7,0,59.5,NA,NA,"FantasySharks","14095",1.8,0,0,0,0,0,0.7,0.3,2.5,0.8,0.4,285,9.8,NA
"Wright, Jaylen","RB","MIA",NA,77.2,327,NA,2.9,14.6,9.1,82,NA,NA,0.4,1.2,58.1,NA,NA,"FantasySharks","16610",2.9,0,0,0,0,0,1.3,0.7,1.9,0.3,0.2,10,10.2,NA
"Hill, Justice","RB","BAL",NA,41.8,220,NA,1.5,31.7,24.9,188,NA,NA,1.4,0,58,NA,NA,"FantasySharks","14086",0.5,0.4,0,0,0,0.6,0.9,0.4,1.9,0.8,0.4,200,4.7,NA
"Tucker, Sean","RB","TBB",NA,53.3,214,NA,3.8,8,6,52,NA,NA,0.7,0,53.6,NA,NA,"FantasySharks","16166",3.6,0,0,0,0.3,0,0.9,0.4,1.4,0.2,0.1,361,12.3,NA
"Kamara, Alvin","RB","NOS",NA,100.9,355,NA,0.8,31.7,25.7,160,NA,NA,0.1,1.6,53.4,NA,NA,"FantasySharks","13132",0,0.8,0,0,0,0,1.4,0.7,3.2,0.6,0.3,119,4.5,NA
"Black, Kaelon","RB","SFO",NA,45.1,209,NA,1.5,22.3,16.1,135,NA,NA,1.3,0,51.3,NA,NA,"FantasySharks","17485",0.8,0.7,0,0,0,0,0.8,0.4,4.8,0.5,0.3,136,6.8,NA
"Washington Jr., Mike","RB","LVR",NA,88,325,NA,0,35.3,28.2,189,NA,NA,0,0.8,51.1,NA,NA,"FantasySharks","17482",0,0,0,0,0,0,1.3,0.7,2.2,0.8,0.4,962,6.2,NA
"Sampson, Dylan","RB","CLE",NA,65.3,236,NA,0,34.1,27.2,211,NA,NA,1.3,1.3,50.1,NA,NA,"FantasySharks","17047",0,0,0,0,0,0,0.9,0.5,4.7,0.8,0.4,242,3.3,NA
"Perine, Samaje","RB","CIN",NA,62.8,261,NA,2.1,20.1,15.6,103,NA,NA,0,1.3,46.4,NA,NA,"FantasySharks","13133",1.8,0,0,0.3,0,0,1,0.5,0.7,0.4,0.2,300,6.7,NA
"Allen, Braelon","RB","NYJ",NA,76,268,NA,1.1,20.2,14,103,NA,NA,0.2,0.3,44.1,NA,NA,"FantasySharks","16596",1.1,0,0,0,0,0,1.1,0.5,1.7,0.4,0.2,97,7.2,NA
"Harris, Najee","RB","NYG",NA,81.7,318,NA,1.2,12.7,9.8,41,NA,NA,0,0,43.1,NA,NA,"FantasySharks","15254",0.9,0,0,0.3,0,0,1.3,0.6,1.5,0.2,0.1,83,4.7,NA
"Johnson, Emmett","RB","KCC",NA,68.9,237,NA,0.5,27.5,19.8,166,NA,NA,0,0,43,NA,NA,"FantasySharks","17474",0.5,0,0,0,0,0,0.9,0.5,3.3,0.7,0.3,54,4.4,NA
"Pacheco, Isiah","RB","DET",NA,69.7,270,NA,1.2,13.6,10.3,65,NA,NA,0.3,0,42.6,NA,NA,"FantasySharks","15749",0.9,0,0,0.3,0,0,1.1,0.5,1.5,0.3,0.1,0,6.6,NA
"Conner, James","RB","ARI",NA,43.9,181,NA,1.1,14.7,12.4,83,NA,NA,1.1,0,39.2,NA,NA,"FantasySharks","13146",1.1,0,0,0,0,0,0.7,0.4,2.2,0.3,0.2,29,4.2,NA
"Davis, Isaiah","RB","NYJ",NA,36.4,205,NA,0.4,20.5,14.6,125,NA,NA,0.5,0,38.6,NA,NA,"FantasySharks","16752",0,0,0.4,0,0,0,0.8,0.4,1,0.5,0.2,216,1.5,NA
"Mitchell, Keaton","RB","LAC",NA,59.2,271,NA,0.7,11.2,8.5,43,NA,NA,0,0,35.6,NA,NA,"FantasySharks","16178",0.2,0.4,0,0,0,0,1.1,0.5,0,0.2,0.1,346,4,NA
"Wilson, Emanuel","RB","SEA",NA,68.7,272,NA,0.5,10.9,7.4,45,NA,NA,0,0,34.6,NA,NA,"FantasySharks","16432",0,0.5,0,0,0,0,1.1,0.5,1,0.2,0.1,291,3.6,NA
"Miller, Kendre","RB","NOS",NA,63.3,217,NA,1,13.1,9,65,NA,NA,0,0,34.1,NA,NA,"FantasySharks","16171",0.8,0.2,0,0,0,0,0.9,0.4,0.3,0.3,0.1,445,1.8,NA
"Estime, Audric","RB","NOS",NA,46.7,154,NA,0.8,13.9,12.4,114,NA,NA,0,0,31.7,NA,NA,"FantasySharks","16595",0.6,0,0,0.2,0,0,0.6,0.3,0,0.5,0.2,0,5.1,NA
"Juszczyk, Kyle","RB","SFO",NA,3.1,-6.1,NA,0,28.1,22.1,195,NA,NA,2,0,31,NA,NA,"FantasySharks","11367",0,0,0,0,0,0,0,0,6.3,0.8,0.4,0,4.3,NA
"Smith, Brashard","RB","KCC",NA,34,125,NA,0,26.6,17.8,113,NA,NA,1.1,0,30.3,NA,NA,"FantasySharks","17049",0,0,0,0,0,0,0.5,0.3,5,0.5,0.2,353,5.4,NA
"Demercado, Emari","RB","DAL",NA,38.3,192,NA,0,15.3,10.3,77,NA,NA,0.7,0.5,29.9,NA,NA,"FantasySharks","16385",0,0,0,0,0,0,0.8,0.4,2.3,0.3,0.2,72,3.6,NA
"Gordon, Ollie","RB","MIA",NA,44.3,132,NA,1.7,7.5,6.3,32,NA,NA,0.5,0.7,28.6,NA,NA,"FantasySharks","17059",1.7,0,0,0,0,0,0.5,0.3,1.1,0.1,0.1,24,5.9,NA
