avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16220,TE,10.525,13.602855,FALSE,3.225,2.2675,18.7825,-133.715,-127.559166666667,-140.0925,371,361,380,117,21,-163.175,385,Will,Mallory,IND,TE,27,-3,500.6,111.2,5.46,,,NA,,,NA,NA,NA,NA,,,,,
robust,16831,TE,7.3,1.4600,TRUE,0.85,7.3,7.3,-136.94,-122.526666666667,-151.575,379,341,403,118,22,-166.4,395,David,Martin-Robinson,TEN,TE,27,-4,625,148.25,17.98,,,NA,,,NA,NA,NA,NA,,,,,
robust,16706,TE,6.45,1.2900,TRUE,3.15,6.45,6.45,-137.79,-123.376666666667,-152.425,385,345,406,119,22,-167.25,401,Tip,Reiman,ARI,TE,25,-4,561.25,128.83,11.19,,,NA,,,NA,NA,NA,NA,,,,,
robust,17696,TE,3.3,0.6600,TRUE,0.35,3.3,3.3,-140.94,-126.526666666667,-155.575,388,355,409,120,22,-170.4,412,Carsen,Ryan,CLE,TE,23,-6,482.5,103,5.29,,,NA,,,NA,NA,NA,NA,,,,,
robust,17641,TE,2.95,0.5900,TRUE,0.1,2.95,2.95,-141.29,-126.876666666667,-155.925,390,356,410,121,22,-170.75,414,Max,Bredeson,MIN,TE,24,-6,451.88,121,18.2,,,NA,,,NA,NA,NA,NA,,,,,
robust,13427,TE,2.85,0.5700,TRUE,0.45,2.85,2.85,-141.39,-126.976666666667,-156.025,391,357,411,122,22,-170.85,415,Robert,Tonyan,PIT,TE,32,3,NA,137,18.99,,,NA,,,NA,NA,NA,NA,,,,,
robust,17419,TE,2.4,0.4800,TRUE,0.55,2.4,2.4,-141.84,-127.426666666667,-156.475,394,360,412,123,22,-171.3,416,Keleki,Latu,BUF,TE,24,-5,535.25,134.8,15.64,,,NA,,,NA,NA,NA,NA,,,,,
robust,14060,TE,1.85,0.3700,TRUE,1.05,1.85,1.85,-142.39,-127.976666666667,-157.025,395,363,413,124,22,-171.85,417,Tyree,Jackson,WAS,TE,29,1,NA,NA,NA,,,NA,,,NA,NA,NA,NA,,,,,
robust,16898,TE,0.8,0.1600,TRUE,0.0499999999999999,0.8,0.8,-143.44,-129.026666666667,-158.075,397,365,415,125,22,-172.9,420,Colson,Yankoff,WAS,TE,26,-4,545.4,129.17,7.22,,,NA,,,NA,NA,NA,NA,,,,,
robust,16919,TE,0.75,0.1500,TRUE,0.6,0.75,0.75,-143.49,-129.076666666667,-158.125,398,366,416,126,22,-172.95,421,E.J.,Jenkins,PHI,TE,28,-3,634.75,153.5,21.74,,,NA,,,NA,NA,NA,NA,,,,,
robust,17285,TE,0.15,0.0300,TRUE,0,0.15,0.15,-144.09,-129.676666666667,-158.725,399,369,418,127,22,-173.55,425,Ben,Yurosek,MIN,TE,24,-5,543,118.67,9.64,,,NA,,,NA,NA,NA,NA,,,,,
robust,16414,K,174.95504795323,1.87493474657784,FALSE,10.1834204598397,167.812388621669,184.376308812265,10.3061051382831,21.5648886216685,7.5082463630666,40,26,51,1,1,NA,NA,Brandon,Aubrey,DAL,K,31,-3,184.1,1.07,0.31,151.94,ADP.tsv,104.936,17.0496,ADP.tsv,16.5042898665771,-64.936,5.842,1.63054960059484,2964,151.94,92,190,317
